frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522.8    460667    132829
523.1    460196    131019
523.4    464658    145262
523.7    464261    133507
524.0    417583    136493
524.3    409559    127201
524.6    442681    117903
524.9    387775    119113
525.2    269401    71939
525.5    471326    129662
525.8    380060    108702
526.1    411023    121790
526.4    417477    123323
526.7    454702    132235
527.0    416883    128322
527.3    467334    146039
527.6    485395    154547
527.9    458502    142178
528.2    439472    124931
528.5    476529    128011
528.8    485314    137487
