frequency [kHz]    total counts in region of interest    max_val_x_line_sum
521    581081    159663
521.5    508466    126656
522.0    523076    132043
522.5    510021    128354
523.0    584513    161065
523.5    570582    165160
524.0    568156    152278
524.5    544627    157149
525.0    576393    164729
525.5    609969    177837
526.0    581929    140869
526.5    268611    61349
527.0    571494    148286
527.5    547750    149333
528.0    520849    135252
528.5    548954    146467
529.0    563438    142922
529.5    556546    143146
530.0    548209    152460
530.5    584181    160245
531.0    543491    131660
