frequency [kHz]    total counts in region of interest    max_val_x_line_sum
521    655905    173008
521.5    637602    170823
522.0    650128    178127
522.5    590351    155939
523.0    630392    172498
523.5    625610    180284
524.0    652375    180792
524.5    625794    155474
525.0    649305    178261
525.5    683327    179584
526.0    550941    146911
526.5    323465    78847
527.0    616238    164762
527.5    688502    196270
528.0    650495    171100
528.5    658583    169235
529.0    672361    180623
529.5    659341    176801
530.0    629086    162267
530.5    625509    172722
531.0    676674    188263
