frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    224283    64971
473.5    225192    68451
473.7    185466    46800
473.9    186475    50089
474.1    184184    49702
474.3    145648    33458
474.5    156574    42352
474.7    129565    35308
474.9    126366    32811
475.1    116633    24718
475.3    195654    49649
475.5    178302    47661
475.7    202432    56655
475.9    220192    57116
476.1    216828    61894
476.3    211530    60616
476.5    223217    62318
476.7    205179    53728
476.9    267211    82421
477.1    233416    61047
477.3    238042    69429
