frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    338361    91106
471.0    325385    97128
471.2    365704    99712
471.4    341177    89156
471.6    330631    77303
471.8    332425    95445
472.0    297687    85941
472.2    335106    102053
472.4    329991    87126
472.6    312125    83375
472.8    302809    93960
473.0    331961    94389
473.2    316359    93902
473.4    270510    74565
473.6    289932    79134
473.8    255429    75574
474.0    339259    94748
474.2    320617    74879
474.4    330002    92729
474.6    350934    105476
474.8    338958    97278
475.0    316253    76292
475.2    375282    111239
475.4    331404    84066
475.6    359124    106795
475.8    353396    89535
476.0    317629    83033
476.2    314120    77608
476.4    331939    85797
476.6    314343    101107
476.8    321460    87127
