frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    114170    32759
472.2    126532    33783
472.4    126751    32199
472.6    125517    33026
472.8    132418    35869
473.0    120380    31665
473.2    120512    29519
473.4    111628    25377
473.6    111628    25377
473.8    111005    29773
474.0    117720    30866
474.2    118276    27570
474.4    112113    29089
474.6    106910    26234
474.8    108874    24131
475.0    93315    22590
475.2    79932    16829
475.4    77653    18881
475.6    69837    14909
475.8    108661    28512
476.0    94668    23579
476.2    112859    32179
476.4    98176    28096
476.6    85023    20054
476.8    111817    25879
477.0    129791    37635
