frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    222951.6666666667    63044.666666666664
471.0    227121.0    67043.66666666667
471.2    225887.33333333334    68665.0
471.4    235888.66666666666    68158.33333333334
471.6    230739.0    63583.00000000001
471.8    218018.0    59454.66666666667
472.0    239247.0    68540.33333333334
472.2    254699.0    69190.33333333334
472.4    236316.99999999997    61168.66666666666
472.6    241113.6666666667    67154.66666666667
472.8    210589.6666666667    59218.666666666664
473.0    209492.00000000003    56916.66666666667
473.2    194114.6666666667    52595.0
473.4    195102.3333333333    51054.00000000001
473.6    196373.33333333337    51436.0
473.8    193351.00000000003    49733.66666666667
474.0    178347.6666666667    46312.66666666667
474.2    172583.33333333334    45282.333333333336
474.4    209680.0    57146.66666666667
474.6    234860.0    59852.666666666664
474.8    218599.33333333334    60166.0
475.0    213350.66666666663    58142.99999999999
475.2    218724.0    62860.99999999999
475.4    221129.0    61649.333333333336
475.6    229768.99999999997    59831.666666666664
475.8    233464.3333333333    63941.00000000001
476.0    239267.6666666667    65514.0
476.2    241791.6666666667    64324.66666666666
476.4    244675.66666666666    68027.66666666666
476.6    236712.3333333333    69290.66666666666
476.8    234110.33333333334    65551.0
