frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    91293    32099
522.5    90000    32083
523.0    84552    25196
523.5    89807    25965
524.0    76261    27996
524.5    85501    25764
525.0    72808    19935
525.5    57374    17721
526.0    52755    16485
526.5    28415    6777
527.0    22260    5845
527.5    33392    8485
528.0    53525    14203
528.5    75332    24125
529.0    64280    18754
529.5    83033    24507
530.0    95374    33252
530.5    95372    27798
531.0    86640    26125
531.5    88053    27292
532.0    106659    31958
