frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    236260.3333333333    66882.66666666667
471.0    240797.66666666663    66355.66666666667
471.2    242831.33333333334    69374.33333333334
471.4    236790.0    60986.0
471.6    237099.00000000003    67861.0
471.8    241050.3333333333    68177.66666666666
472.0    240440.33333333334    69182.33333333333
472.2    241777.66666666663    64333.0
472.4    223691.66666666666    59024.99999999999
472.6    228005.00000000003    68318.33333333333
472.8    205331.0    54836.0
473.0    194646.3333333333    48804.333333333336
473.2    188749.0    47913.33333333334
473.4    197307.33333333334    56701.333333333336
473.6    192812.33333333334    48872.333333333336
473.8    202318.6666666667    58195.33333333334
474.0    165520.66666666666    45578.33333333333
474.2    163587.33333333334    40287.333333333336
474.4    200007.66666666663    55217.333333333336
474.6    220812.00000000003    63491.33333333333
474.8    219303.0    62358.00000000001
475.0    234842.3333333333    61902.666666666664
475.2    228209.33333333334    62941.33333333333
475.4    227823.33333333334    61148.0
475.6    239769.00000000003    67532.33333333333
475.8    242343.0    65982.66666666667
476.0    242048.6666666667    63080.333333333336
476.2    242018.33333333337    69519.66666666666
476.4    245463.00000000003    69123.0
476.6    250790.00000000003    66325.00000000001
476.8    254446.33333333334    71266.66666666666
