frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    655770    173462
522.5    689772    176608
523.0    706238    205992
523.5    687126    186917
524.0    735053    200076
524.5    661235    175002
525.0    685905    195351
525.5    692551    181918
526.0    717495    200127
526.5    725186    210268
527.0    526382    142124
527.5    699574    182651
528.0    684668    191825
528.5    647642    164526
529.0    675032    190641
529.5    650786    175637
530.0    674411    183176
530.5    702484    201466
531.0    680993    182491
531.5    656234    171650
532.0    664543    181826
