frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    232591    81467
473.5    200413    57512
473.7    219499    63737
473.9    192624    47723
474.1    214155    59336
474.3    210307    51755
474.5    183771    55660
474.7    152430    38296
474.9    132911    35894
475.1    123535    33378
475.3    169884    50916
475.5    195217    65188
475.7    189537    54393
475.9    194939    56619
476.1    196414    49838
476.3    233876    69909
476.5    219698    66303
476.7    209830    52768
476.9    226304    65589
477.1    245019    63771
477.3    248673    70478
