frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    206013    58462
473.5    215824    62980
473.7    226348    65141
473.9    186517    59804
474.1    185856    45542
474.3    185517    52635
474.5    169790    48973
474.7    186342    55537
474.9    143831    42120
475.1    185511    41220
475.3    190055    55119
475.5    202173    47708
475.7    214348    63908
475.9    199687    49781
476.1    197583    59375
476.3    200304    55724
476.5    221320    59307
476.7    234496    59138
476.9    229661    61118
477.1    246186    73090
477.3    273027    78615
