frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    131840    36746
472.2    145852    42522
472.4    132093    32968
472.6    117133    35789
472.8    114197    33678
473.0    108721    33110
473.2    118547    26675
473.4    111938    29779
473.6    117800    30947
473.8    107869    27004
474.0    118012    28094
474.2    108708    25195
474.4    98518    24719
474.6    101400    25956
474.8    97531    23246
475.0    93818    20957
475.2    89297    23520
475.4    82618    18486
475.6    104192    24888
475.8    105050    27680
476.0    110177    24907
476.2    108046    27179
476.4    108274    25728
476.6    105383    27688
476.8    100929    23249
477.0    113794    28571
