frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523.7    456973.33333333343    127765.33333333334
523.9    403547.6666666666    109969.33333333333
524.1    416062.0    124707.33333333333
524.3    417595.6666666667    117693.33333333331
524.5    413225.6666666666    115202.33333333331
524.7    404005.3333333334    106882.33333333334
524.9    374855.3333333334    104146.0
525.1    286122.6666666667    72949.33333333333
525.3    222302.33333333337    58366.333333333336
525.5    380268.6666666667    106285.66666666666
525.7    379050.0    103972.00000000001
525.9    379388.3333333333    106159.66666666666
526.1    408845.3333333334    115147.33333333333
526.3    429541.6666666667    116483.33333333333
526.5    421913.6666666666    119264.66666666667
526.7    439458.0    122067.33333333334
526.9    446370.6666666666    133135.6666666667
527.1    470782.0    137040.6666666667
527.3    467512.99999999994    132863.33333333334
527.5    447385.3333333333    131247.6666666667
527.7    471669.6666666667    133261.6666666667
