frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    653204    160628
522.5    672764    186224
523.0    661433    178291
523.5    695119    179709
524.0    716636    181719
524.5    754603    214637
525.0    718324    190410
525.5    686097    193618
526.0    805936    210525
526.5    735952    190076
527.0    513955    132385
527.5    753186    195786
528.0    730425    209039
528.5    722781    196274
529.0    695465    184037
529.5    673022    170151
530.0    735981    193044
530.5    682363    189001
531.0    672503    171722
531.5    691453    174990
532.0    651394    185118
