frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    433745    102246
471.0    403216    91006
471.2    387233    75645
471.4    436515    88576
471.6    349307    78066
471.8    423687    87553
472.0    415264    87313
472.2    394721    93558
472.4    414455    78288
472.6    369321    77133
472.8    386551    78911
473.0    403677    88687
473.2    410757    87256
473.4    392242    82966
473.6    381840    92194
473.8    409035    92136
474.0    422504    80135
474.2    363833    79846
474.4    353938    68821
474.6    399317    81176
474.8    376129    84341
475.0    391904    80860
475.2    422893    89559
475.4    404613    99892
475.6    365633    71281
475.8    390583    95431
476.0    393820    81561
476.2    401206    77924
476.4    395247    80504
476.6    385561    81185
476.8    380946    85550
