frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523.5    279724    89647
523.7    266881    88366
523.9    262631    98738
524.1    269370    88531
524.3    249670    80195
524.5    257789    89894
524.7    287037    88001
524.9    294940    104861
525.1    239603    90947
525.3    253089    85567
525.5    295055    101196
525.7    217193    67889
525.9    214673    84153
526.1    212981    72612
526.3    193100    66305
526.5    231406    86696
526.7    97498    29915
526.9    86250    27122
527.1    208172    69617
527.3    182409    71001
527.5    198373    65846
527.7    273085    94156
527.9    262468    87991
528.1    251179    85461
528.3    222471    74373
528.5    237707    82752
528.7    274681    84227
528.9    311393    105365
529.1    257987    88793
529.3    288568    95205
529.5    285301    100276
