frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523    650294    184394
523.5    628829    168799
524.0    665118    181321
524.5    682903    173232
525.0    710041    193614
525.5    683687    192431
526.0    709184    185727
526.5    686140    181835
527.0    546531    149028
527.5    734549    204412
528.0    706010    190338
528.5    669160    170117
529.0    653167    176652
529.5    634897    167011
530.0    687072    188071
530.5    664429    166422
531.0    688010    179361
531.5    654515    172689
532.0    678214    180127
532.5    651723    175441
533.0    674025    188265
