frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    178944    56178
472.2    154363    49262
472.4    171454    48170
472.6    157707    41281
472.8    173052    63966
473.0    165640    47838
473.2    158183    52723
473.4    158523    40821
473.6    146562    35808
473.8    165311    44002
474.0    174681    45347
474.2    149444    45806
474.4    112425    30257
474.6    145711    38202
474.8    151316    45650
475.0    101727    24836
475.2    82662    19291
475.4    160558    49881
475.6    135154    31578
475.8    139998    42094
476.0    143792    36216
476.2    163552    43994
476.4    155547    38174
476.6    154458    45630
476.8    157773    46330
477.0    163950    45432
