frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    108626    34062
472.2    117494    34255
472.4    110062    30184
472.6    108147    30154
472.8    122120    29013
473.0    114808    32188
473.2    101649    27847
473.4    102802    34603
473.6    100977    27398
473.8    94480    21794
474.0    106537    26201
474.2    104734    22808
474.4    114362    33557
474.6    112955    32162
474.8    94965    25016
475.0    104581    26241
475.2    96761    24259
475.4    80270    18293
475.6    94496    21227
475.8    109671    28902
476.0    95199    26040
476.2    94333    23608
476.4    98578    27357
476.6    103105    27193
476.8    101001    28291
477.0    97877    26946
