frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    255769.6666666667    71011.66666666667
471.0    251782.33333333334    69735.0
471.2    252635.33333333334    71303.66666666667
471.4    243927.3333333333    69589.66666666666
471.6    243950.0    77348.0
471.8    246562.66666666666    66478.66666666667
472.0    247643.6666666667    63183.33333333334
472.2    243764.0    69232.0
472.4    246852.6666666667    65411.66666666667
472.6    214703.66666666666    57321.66666666668
472.8    216117.66666666672    58782.99999999999
473.0    196638.6666666667    53038.99999999999
473.2    194102.0    49530.666666666664
473.4    189573.99999999997    45847.666666666664
473.6    181045.6666666667    49351.999999999985
473.8    171312.6666666667    44809.66666666667
474.0    193390.66666666672    52466.00000000001
474.2    218692.3333333333    58835.33333333333
474.4    220868.66666666666    58570.33333333332
474.6    227046.00000000003    59897.33333333333
474.8    229139.33333333334    62092.0
475.0    230995.66666666666    60701.66666666666
475.2    252257.33333333334    67947.0
475.4    237379.00000000003    64272.0
475.6    248650.6666666667    78322.33333333333
475.8    232872.6666666667    67412.0
476.0    245280.3333333333    65512.33333333333
476.2    220185.00000000003    60823.0
476.4    238765.0    66301.0
476.6    228043.66666666666    62777.000000000015
476.8    235497.3333333333    66214.0
