event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    0    0    234.0    0    1    none
2    0    0    0.0    0    0    2_dark
3    1.29    37.29    96.0    1    1    none
4    59.3    192.3    193.0    1    1    none
5    0    0    0.0    0    0    2_dark
6    19.9    49.9    60.0    1    1    none
7    8.51    60.51    112.0    1    1    none
8    0    0    7.0    0    1    2_dark
9    8.46    94.46    116.0    1    1    none
10    0    0    234.0    0    1    none
11    20.24    111.24    121.0    1    0    none
12    5.54    16.54    71.0    1    1    none
13    0    0    0.0    0    1    none
14    0    0    174.0    0    1    2_dark
15    25.14    25.14    30.0    1    1    none
16    3.01    34.01    36.0    1    1    none
17    31.89    46.89    75.0    1    1    none
18    30.95    101.95    131.0    1    1    none
19    53.44    180.44    187.0    1    1    none
20    35.86    96.86    121.0    1    1    none
21    0    0    189.0    0    1    none
22    39.64    112.64    133.0    1    1    none
23    7.93    54.93    107.0    1    1    none
24    46.93    143.93    157.0    1    1    none
25    38.57    38.57    60.0    1    1    none
26    0    0    234.0    0    1    none
27    1.94    223.94    227.0    1    1    none
