event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    14.86    14.86    60.0    1    1    none
2    3.37    3.37    5.0    1    1    none
3    39.08    55.08    76.0    1    1    none
4    4.39    75.39    131.0    1    1    none
5    0    0    30.0    0    1    2_dark
6    4.89    118.89    124.0    1    1    none
7    0.76    173.76    178.0    1    1    none
8    16.31    99.31    143.0    1    1    none
9    0    0    234.0    0    0    none
10    2.54    42.54    70.0    1    1    none
11    11.76    129.76    148.0    1    1    none
12    37.7    67.7    90.0    1    0    none
13    26.63    127.63    131.0    1    1    none
14    1.34    155.34    214.0    1    1    none
15    3.6    3.6    10.0    1    1    none
16    19.84    72.84    83.0    1    1    none
17    3.0    3.0    10.0    1    1    none
18    1.96    2.96    61.0    1    1    none
19    0    0    124.0    0    1    2_dark
20    0    0    0.0    0    0    empty
21    58.07    88.07    90.0    1    1    none
22    0    0    0.0    0    0    empty
23    36.88    37.88    61.0    1    1    none
24    34.65    167.65    193.0    1    1    none
25    6.02    42.02    66.0    1    1    none
26    28.3    105.3    137.0    1    1    none
27    47.5    47.5    60.0    1    1    none
