event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_08_10_10_34_18    5    4    False    0    [[5, 5, 15], [1, 5, 15], [10, 5, 15], [5, 5, 15], [60, 5, 15], [1, 5, 15], [10, 5, 15], [10, 5, 15], [30, 5, 15], [5, 5, 15], [1, 5, 15], [30, 5, 15], [1, 5, 15], [60, 4, 15]]    0    2_dark
2    2023_08_10_10_56_31    5    5    False    0    [[1, 5, 15], [30, 5, 15], [5, 5, 15], [1, 5, 15], [1, 5, 15], [60, 5, 15], [5, 5, 15], [10, 5, 15], [5, 5, 15], [10, 5, 15], [5, 5, 15], [30, 5, 15], [60, 5, 15], [1, 5, 15], [10, 5, 15]]    1    none
3    2023_08_10_11_29_35    5    5    False    0    [[10, 5, 15], [5, 5, 15], [1, 5, 15], [1, 5, 15], [10, 5, 15], [5, 5, 15], [10, 5, 15], [30, 5, 15], [5, 5, 15], [5, 5, 15], [1, 5, 15], [30, 5, 15], [60, 5, 15], [60, 5, 15], [1, 5, 15]]    1    none
4    2023_08_10_11_55_59    3    2    False    0    [[60, 2, 15]]    0    2_dark
5    2023_08_10_12_02_01    3    3    False    0    [[60, 3, 15], [30, 3, 15], [1, 3, 15], [10, 3, 15], [1, 3, 15], [10, 3, 15], [5, 3, 15], [1, 3, 15], [10, 3, 15], [5, 3, 15], [30, 3, 15], [1, 3, 15], [5, 3, 15], [60, 3, 15], [5, 3, 15]]    1    none
6    2023_08_10_12_26_26    3    4    True    0    [[10, 3, 15], [5, 3, 15], [1, 3, 15], [5, 3, 15], [60, 4, 0]]    1    none
7    2023_08_10_12_34_39    3    3    False    0    [[1, 3, 15], [1, 3, 15], [5, 3, 15], [5, 3, 15], [5, 3, 15], [30, 3, 15], [60, 3, 15], [10, 3, 15], [10, 3, 15], [10, 3, 15], [1, 3, 15], [30, 3, 15], [1, 3, 15], [5, 3, 15], [60, 3, 15]]    1    none
8    2023_08_10_12_50_07    4    4    False    0    [[10, 4, 15], [5, 4, 15], [10, 4, 15], [10, 4, 15], [1, 4, 15], [1, 4, 15], [60, 4, 15], [5, 4, 15], [5, 4, 15], [60, 4, 15], [30, 4, 15], [1, 4, 15], [5, 4, 15], [30, 4, 15], [1, 4, 15]]    1    none
9    2023_08_10_13_04_49    3    2    False    0    [[10, 3, 15], [1, 3, 15], [60, 3, 15], [1, 3, 15], [1, 3, 15], [1, 3, 15], [5, 2, 15]]    0    2_dark
10    2023_08_10_13_25_24    4    4    False    0    [[5, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [10, 4, 15], [5, 4, 15], [30, 4, 15], [10, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [60, 4, 15], [1, 4, 15], [30, 4, 15], [60, 4, 15]]    1    none
11    2023_08_10_13_56_32    3    3    False    0    [[30, 3, 15], [5, 3, 15], [60, 3, 15], [30, 3, 15], [60, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [1, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [5, 3, 15], [10, 3, 15], [1, 3, 15]]    1    none
12    2023_08_10_14_59_54    2    2    False    0    [[60, 2, 15], [10, 2, 15], [10, 2, 15], [5, 2, 15], [10, 2, 15], [1, 2, 15], [5, 2, 15], [60, 2, 15], [5, 2, 15], [5, 2, 15], [1, 2, 15], [1, 2, 15], [1, 2, 15], [30, 2, 15], [30, 2, 15]]    1    none
13    2023_08_10_15_14_37    3    2    False    0    [[10, 3, 15], [1, 3, 15], [5, 3, 15], [5, 2, 15]]    0    2_dark
14    2023_08_10_15_31_13    3    3    False    0    [[5, 3, 15], [60, 3, 15], [1, 3, 15], [1, 3, 15], [10, 3, 15], [5, 3, 15], [1, 3, 15], [60, 3, 15], [1, 3, 15], [30, 3, 15], [5, 3, 15], [10, 3, 15], [30, 3, 15], [10, 3, 15], [5, 3, 15]]    1    none
15    2023_08_10_16_34_51    4    5    True    0    [[1, 4, 15], [60, 4, 15], [10, 4, 15], [1, 4, 15], [30, 4, 15], [5, 4, 15], [10, 4, 15], [1, 4, 15], [10, 5, 0]]    1    none
16    2023_08_10_16_43_49    4    4    False    0    [[10, 4, 15], [60, 4, 15], [60, 4, 15], [1, 4, 15], [30, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [30, 4, 15], [10, 4, 15], [10, 4, 15], [5, 4, 15]]    1    none
17    2023_08_10_16_55_05    3    4    True    0    [[1, 3, 15], [1, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [30, 4, 0]]    1    none
18    2023_08_10_17_28_27    3    3    False    0    [[1, 3, 15], [1, 3, 15], [60, 3, 15], [30, 3, 15], [5, 3, 15], [5, 3, 15], [10, 3, 15], [5, 3, 15], [1, 3, 15], [1, 3, 15], [60, 3, 15], [5, 3, 15], [30, 3, 15], [10, 3, 15], [10, 3, 15]]    1    none
19    2023_08_10_17_43_15    4    4    False    0    [[30, 4, 15], [30, 4, 15], [10, 4, 15], [10, 4, 15], [5, 4, 15], [5, 4, 15], [1, 4, 15], [1, 4, 15], [60, 4, 15], [60, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [1, 4, 15]]    1    none
