event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    0    0    169.0    0    1    2_dark
2    0    0    234.0    0    1    none
3    0    0    234.0    0    1    none
4    0    0    0.0    0    1    2_dark
5    0    0    234.0    0    1    none
6    31.95    52.95    81.0    1    1    none
7    0    0    234.0    0    1    none
8    0    0    234.0    0    1    none
9    0    0    74.0    0    1    2_dark
10    0    0    234.0    0    1    none
11    0    0    234.0    0    1    none
12    0    0    234.0    0    1    none
13    0    0    16.0    0    1    2_dark
14    0    0    234.0    0    1    none
15    6.43    124.43    128.0    1    1    none
16    0    0    234.0    0    1    none
17    16.69    34.69    48.0    1    1    none
18    0    0    234.0    0    1    none
19    0    0    234.0    0    1    none
