event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    27.18    104.18    107.0    1    1    none
2    0    0    174.0    0    1    2_dark
3    16.84    77.84    121.0    1    1    none
4    5.64    5.64    30.0    1    1    none
5    27.08    47.08    50.0    1    1    none
6    30.2    52.2    52.0    1    1    none
7    12.23    93.23    111.0    1    1    none
8    44.36    44.36    60.0    1    1    none
9    5.84    11.84    16.0    1    1    none
10    6.47    6.47    10.0    1    1    none
11    48.81    58.81    70.0    1    1    none
12    47.18    87.18    100.0    1    1    none
13    13.27    14.27    31.0    1    1    none
14    8.98    28.98    30.0    1    1    none
15    5.22    108.22    113.0    1    1    none
16    18.83    23.83    35.0    1    1    none
17    16.7    21.7    35.0    1    1    none
18    25.58    72.58    77.0    1    1    none
19    5.84    40.84    45.0    1    1    none
20    60.2    66.2    66.0    1    1    none
21    42.48    216.48    234.0    1    1    none
22    8.18    14.18    66.0    1    1    none
23    6.44    7.44    11.0    1    1    none
24    3.97    25.97    82.0    1    1    none
