event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    0    0    234.0    0    1    none
2    0    0    0.0    0    1    2_dark
3    0    0    153.0    0    1    2_dark
4    21.78    220.79    229.01    1    1    none
5    0    0    234.0    0    1    none
6    0    0    199.0    0    1    2_dark
7    10.44    70.44    90.0    1    1    none
8    0    0    234.01    0    1    none
9    0    0    234.0    0    1    none
10    2.37    7.37    15.0    1    1    none
11    0    0    234.0    0    1    none
12    0    0    20.0    0    1    2_dark
13    41.25    163.25    182.0    1    1    none
14    0    0    234.0    0    1    none
15    0    0    234.0    0    0    none
16    0    0    234.0    0    1    none
17    0    0    234.0    0    1    none
