event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    0    0    234.0    0    1    none
2    0    0    234.0    0    1    none
3    0    0    107.0    0    0    none
4    11.38    68.38    117.0    1    1    none
5    0    0    0.0    0    1    2_dark
6    0    0    0.0    0    1    2_dark
7    52.06    62.06    70.0    1    1    none
8    0    0    234.0    0    1    none
9    29.07    55.07    56.0    1    1    none
10    0    0    234.0    0    1    none
11    0    0    234.0    0    1    none
12    44.44    84.44    100.0    1    1    none
13    0    0    0.0    0    1    2_dark
14    4.0    156.0    162.0    1    1    none
15    0    0    234.0    0    1    none
16    25.34    132.34    137.0    1    1    none
17    45.65    171.65    186.0    1    1    none
18    0    0    0.0    0    1    2_dark
19    0    0    5.0    0    1    2_dark
20    0    0    234.0    0    1    none
21    0    0    234.0    0    1    none
22    0    0    21.0    0    1    2_dark
23    0    0    181.0    0    1    2_dark
24    0    0    163.0    0    1    2_dark
