event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    9.14    9.14    10.0    1    1    none
2    0    0    10.0    0    0    2_dark
3    49.87    105.87    116.0    1    1    none
4    0    0    66.0    0    1    2_dark
5    0    0    234.0    0    1    none
6    35.15    67.15    92.0    1    1    none
7    0    0    65.0    0    1    none
8    56.53    56.53    60.0    1    1    none
9    0    0    10.0    0    1    2_dark
10    45.23    61.23    76.0    1    1    none
11    25.74    159.74    164.0    1    1    none
12    54.72    109.72    115.0    1    1    none
13    4.64    4.64    30.0    1    1    none
14    3.57    207.57    234.0    1    1    none
15    7.99    89.99    92.0    1    1    none
16    0    0    1.0    0    1    2_dark
17    2.47    7.47    10.0    1    1    none
18    42.78    180.78    198.0    1    1    none
19    2.41    185.41    213.0    1    1    none
20    12.97    48.97    96.0    1    1    none
21    1.2    89.2    89.0    1    1    none
22    60.2    120.2    120.0    1    1    none
23    1.2    87.2    87.0    1    1    none
24    4.06    81.06    82.0    1    1    none
