frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    249031    79477
473.5    210511    58703
473.7    204763    62285
473.9    179050    52260
474.1    215717    64318
474.3    202529    48854
474.5    182020    46464
474.7    198528    54623
474.9    168985    50214
475.1    142556    33166
475.3    199710    50615
475.5    194686    58995
475.7    205002    48505
475.9    207470    52539
476.1    194654    59446
476.3    212302    70033
476.5    210007    59593
476.7    204143    54329
476.9    210169    55475
477.1    208715    56213
477.3    243887    64027
