frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523.7    453142.3333333333    127058.66666666669
523.9    454924.6666666666    127799.33333333334
524.1    446795.3333333334    124270.33333333333
524.3    397326.00000000006    105542.66666666669
524.5    382591.0    104885.66666666667
524.7    406184.6666666666    116426.0
524.9    396336.33333333326    111942.33333333334
525.1    302931.3333333333    81415.33333333333
525.3    223755.66666666666    59873.00000000001
525.5    382556.0    104388.0
525.7    428159.3333333333    119515.33333333334
525.9    423352.3333333333    116497.66666666666
526.1    420288.6666666666    115442.66666666666
526.3    424240.6666666666    120296.66666666667
526.5    415491.00000000006    114689.99999999999
526.7    451593.99999999994    126300.33333333333
526.9    436270.3333333333    134205.0
527.1    465575.6666666667    125520.33333333331
527.3    444369.3333333334    128516.99999999999
527.5    440521.66666666674    123385.66666666667
527.7    437570.0    126671.33333333334
