event_number,event_time_[s],diss_exposure_time_[s],diss_succes,diss_power_[muW],diss_wavelength_[nm],pp_divider,ratio_dark_ion_events,use_data,reason
1,1677579424.9402363,120,0,4,250,100,1.0,0,2_dark
1,1677579424.9402363,1,0,4,250,100,1.0,1,none
1,1677579424.9402363,5,0,4,250,100,1.0,1,none
1,1677579424.9402363,5,0,4,250,100,1.0,1,none
1,1677579424.9402363,5,0,4,250,100,1.0,1,none
1,1677579424.9402363,10,0,4,250,100,1.0,1,none
1,1677579424.9402363,1,0,4,250,100,1.0,1,none
1,1677579424.9402363,30,0,4,250,100,1.0,1,none
1,1677579424.9402363,30,0,4,250,100,1.0,1,none
1,1677579424.9402363,10,0,4,250,100,1.0,0,2_dark
2,1677580583.0787356,10,0,4,250,100,1.0,1,none
2,1677580583.0787356,60,0,4,250,100,1.0,1,none
2,1677580583.0787356,120,1,4,250,100,0.0,1,none
3,1677581096.0822866,120,1,4,250,100,0.0,1,none
4,1677582219.1486678,10,0,4,250,100,1.0,0,2_dark
5,1677583019.7640421,1,0,4,250,100,1.0,1,none
5,1677583019.7640421,1,0,4,250,100,1.0,1,none
5,1677583019.7640421,30,0,4,250,100,1.0,1,none
5,1677583019.7640421,5,0,4,250,100,1.0,1,none
5,1677583019.7640421,60,1,4,250,100,0.0,1,none
6,1677584237.1373134,5,0,4,250,100,1.0,1,none
6,1677584237.1373134,30,0,4,250,100,1.0,1,none
6,1677584237.1373134,5,0,4,250,100,1.0,1,none
6,1677584237.1373134,10,0,4,250,100,1.0,1,none
6,1677584237.1373134,5,0,4,250,100,1.0,1,none
6,1677584237.1373134,10,0,4,250,100,1.0,1,none
6,1677584237.1373134,30,0,4,250,100,1.0,1,none
6,1677584237.1373134,5,0,4,250,100,1.0,1,none
6,1677584237.1373134,60,1,4,250,100,0.0,1,none
7,1677584665.989237,10,0,4,250,100,1.0,1,none
7,1677584665.989237,10,0,4,250,100,1.0,1,none
7,1677584665.989237,60,1,4,250,100,0.0,1,none
8,1677584859.0028844,10,0,4,250,100,1.0,1,none
8,1677584859.0028844,10,0,4,250,100,1.0,1,none
8,1677584859.0028844,1,0,4,250,100,1.0,1,none
8,1677584859.0028844,5,0,4,250,100,1.0,1,none
8,1677584859.0028844,30,1,4,250,100,0.0,1,none
9,1677585000.5438926,1,0,4,250,100,1.0,1,none
9,1677585000.5438926,60,0,4,250,100,1.0,0,2_dark
10,1677585580.887316,1,0,4,250,100,0.0,1,melting
11,1677586425.2920122,120,1,4,250,100,0.0,1,none
12,1677586905.9904664,120,1,4,250,100,0.0,1,none
13,1677587070.143662,30,0,4,250,100,1.0,1,none
13,1677587070.143662,5,0,4,250,100,1.0,1,none
13,1677587070.143662,30,0,4,250,100,1.0,1,none
13,1677587070.143662,1,0,4,250,100,1.0,1,none
13,1677587070.143662,5,0,4,250,100,1.0,1,none
13,1677587070.143662,10,0,4,250,100,1.0,1,none
13,1677587070.143662,1,0,4,250,100,1.0,1,none
13,1677587070.143662,1,0,4,250,100,1.0,1,none
13,1677587070.143662,10,0,4,250,100,1.0,1,none
13,1677587070.143662,120,1,4,250,100,0.0,1,none
14,1677587574.3666077,10,0,4,250,100,1.0,1,none
14,1677587574.3666077,5,0,4,250,100,1.0,1,none
14,1677587574.3666077,60,0,4,250,100,1.0,1,none
14,1677587574.3666077,1,0,4,250,100,1.0,1,none
14,1677587574.3666077,30,0,4,250,100,1.0,1,none
14,1677587574.3666077,30,0,4,250,100,1.0,1,none
14,1677587574.3666077,1,0,4,250,100,1.0,1,none
14,1677587574.3666077,10,0,4,250,100,1.0,1,none
14,1677587574.3666077,5,0,4,250,100,1.0,1,none
14,1677587574.3666077,5,0,4,250,100,1.0,1,none
14,1677587574.3666077,5,0,4,250,100,1.0,1,none
14,1677587574.3666077,1,0,4,250,100,1.0,1,none
14,1677587574.3666077,10,0,4,250,100,1.0,1,none
14,1677587574.3666077,120,1,4,250,100,0.0,1,none
15,1677588396.6100655,5,0,4,250,100,1.0,1,none
15,1677588396.6100655,30,0,4,250,100,1.0,1,none
15,1677588396.6100655,10,0,4,250,100,1.0,1,none
15,1677588396.6100655,1,0,4,250,100,1.0,1,none
15,1677588396.6100655,5,0,4,250,100,1.0,1,none
15,1677588396.6100655,5,0,4,250,100,1.0,1,none
15,1677588396.6100655,1,0,4,250,100,1.0,1,none
15,1677588396.6100655,1,0,4,250,100,1.0,1,none
15,1677588396.6100655,10,0,4,250,100,1.0,1,none
15,1677588396.6100655,30,0,4,250,100,1.0,1,none
15,1677588396.6100655,10,0,4,250,100,1.0,1,none
15,1677588396.6100655,1,0,4,250,100,1.0,1,none
15,1677588396.6100655,5,0,4,250,100,1.0,1,none
15,1677588396.6100655,120,1,4,250,100,0.0,1,none
16,1677590309.992299,1,0,4,250,100,1.0,1,none
16,1677590309.992299,30,1,4,250,100,0.0,1,none
17,1677590730.6391258,1,0,4,250,100,1.0,1,none
17,1677590730.6391258,10,0,4,250,100,1.0,0,2_dark
18,1677591817.6850185,60,0,4,250,100,1.0,1,none
18,1677591817.6850185,5,0,4,250,100,1.0,1,none
18,1677591817.6850185,10,1,4,250,100,0.0,1,none
19,1677592269.2270296,10,0,4,250,100,1.0,1,none
19,1677592269.2270296,1,0,4,250,100,1.0,1,none
19,1677592269.2270296,1,0,4,250,100,1.0,1,none
19,1677592269.2270296,5,0,4,250,100,1.0,0,2_dark
20,1677592835.7592921,120,1,4,250,100,0.0,1,cloud
21,1677593780.6969657,5,0,4,250,100,1.0,1,none
21,1677593780.6969657,60,1,4,250,100,0.0,1,none
22,1677595213.188522,30,1,4,250,100,0.0,1,none
23,1677595629.3672998,5,0,4,250,100,1.0,1,none
23,1677595629.3672998,120,0,4,250,100,1.0,1,none
23,1677595629.3672998,30,1,4,250,100,0.0,1,none
24,1677596348.1862526,10,0,4,250,100,1.0,1,none
24,1677596348.1862526,1,0,4,250,100,1.0,1,none
24,1677596348.1862526,1,0,4,250,100,1.0,1,none
24,1677596348.1862526,30,1,4,250,100,0.0,1,none
25,1677596819.5863492,120,0,4,250,100,1.0,1,none
25,1677596819.5863492,1,0,4,250,100,1.0,1,none
25,1677596819.5863492,10,0,4,250,100,1.0,1,none
25,1677596819.5863492,30,0,4,250,100,1.0,1,none
25,1677596819.5863492,1,0,4,250,100,1.0,1,none
25,1677596819.5863492,10,0,4,250,100,1.0,1,none
25,1677596819.5863492,1,0,4,250,100,1.0,1,none
25,1677596819.5863492,5,0,4,250,100,1.0,1,none
25,1677596819.5863492,30,0,4,250,100,1.0,1,none
25,1677596819.5863492,10,0,4,250,100,1.0,1,none
25,1677596819.5863492,5,0,4,250,100,1.0,1,none
25,1677596819.5863492,1,0,4,250,100,1.0,1,none
25,1677596819.5863492,60,0,4,250,100,1.0,1,none
25,1677596819.5863492,5,0,4,250,100,1.0,0,2_dark
26,1677598529.3728435,30,0,4,250,100,1.0,1,none
26,1677598529.3728435,1,0,4,250,100,1.0,1,none
26,1677598529.3728435,10,0,4,250,100,1.0,1,none
26,1677598529.3728435,120,0,4,250,100,1.0,1,none
26,1677598529.3728435,1,0,4,250,100,1.0,1,none
26,1677598529.3728435,60,0,4,250,100,1.0,1,none
26,1677598529.3728435,1,0,4,250,100,1.0,1,none
26,1677598529.3728435,5,0,4,250,100,1.0,1,none
26,1677598529.3728435,10,0,4,250,100,1.0,1,none
26,1677598529.3728435,5,0,4,250,100,1.0,1,none
26,1677598529.3728435,1,0,4,250,100,1.0,1,none
26,1677598529.3728435,5,0,4,250,100,1.0,1,none
26,1677598529.3728435,5,0,4,250,100,1.0,1,none
26,1677598529.3728435,30,0,4,250,100,1.0,1,none
26,1677598529.3728435,10,0,4,250,100,1.0,1,none
27,1677599570.850152,120,1,4,250,100,0.0,1,none
