event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    5.35    16.35    71.0    1    1    none
2    0    0    0.0    0    1    2_dark
3    21.92    22.92    31.0    1    1    none
4    2.47    3.47    61.0    1    1    none
5    2.25    3.25    31.0    1    1    none
6    0    0    0.0    0    1    2_dark
7    0    0    0.0    0    1    2_dark
8    7.39    8.39    11.0    1    1    none
9    20.58    25.58    35.0    1    1    none
10    24.29    39.29    45.0    1    1    none
11    3.92    4.92    11.0    1    1    none
12    0    0    5.0    0    0    empty
13    10.08    40.08    40.0    1    1    none
14    0    0    294.02    0    1    none
15    1.32    138.32    142.0    1    0    none
16    0.97    11.97    41.0    1    1    none
17    7.06    55.06    58.0    1    1    none
18    5.08    5.08    5.0    1    1    none
19    9.96    148.01    168.05    1    1    none
20    18.23    18.23    60.0    1    1    none
