event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_02_28_11_17_04    2    1    False    0    [[120, 2, 15], [1, 2, 15], [5, 2, 15], [5, 2, 15], [5, 2, 15], [10, 2, 15], [1, 2, 15], [30, 2, 15], [30, 2, 15], [10, 1, 15]]    0    2_dark
2    2023_02_28_11_36_23    2    3    True    0    [[10, 2, 15], [60, 2, 15], [120, 3, 0]]    1    none
3    2023_02_28_11_44_56    2    3    True    0    [[120, 3, 0]]    1    none
4    2023_02_28_12_03_39    4    3    False    0    [[10, 3, 15]]    0    2_dark
5    2023_02_28_12_16_59    2    3    True    0    [[1, 2, 15], [1, 2, 15], [30, 2, 15], [5, 2, 15], [60, 3, 0]]    1    none
6    2023_02_28_12_37_17    3    4    True    0    [[5, 3, 15], [30, 3, 15], [5, 3, 15], [10, 3, 15], [5, 3, 15], [10, 3, 15], [30, 3, 15], [5, 3, 15], [60, 4, 0]]    1    none
7    2023_02_28_12_44_25    3    4    True    0    [[10, 3, 15], [10, 3, 15], [60, 4, 0]]    1    none
8    2023_02_28_12_47_39    3    4    True    0    [[10, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [30, 4, 0]]    1    none
9    2023_02_28_12_50_00    3    2    False    0    [[1, 3, 15], [60, 2, 15]]    0    2_dark
10    2023_02_28_12_59_40    0    0    False    0    [[1, 0, 0]]    1    melting
11    2023_02_28_13_13_45    2    3    True    0    [[120, 3, 0]]    1    none
12    2023_02_28_13_21_45    2    3    True    0    [[120, 3, 0]]    1    none
13    2023_02_28_13_24_30    2    3    True    0    [[30, 2, 15], [5, 2, 15], [30, 2, 15], [1, 2, 15], [5, 2, 15], [10, 2, 15], [1, 2, 15], [1, 2, 15], [10, 2, 15], [120, 3, 0]]    1    none
14    2023_02_28_13_32_54    2    3    True    0    [[10, 2, 15], [5, 2, 15], [60, 2, 15], [1, 2, 15], [30, 2, 15], [30, 2, 15], [1, 2, 15], [10, 2, 15], [5, 2, 15], [5, 2, 15], [5, 2, 15], [1, 2, 15], [10, 2, 15], [120, 3, 0]]    1    none
15    2023_02_28_13_46_36    2    3    True    0    [[5, 2, 15], [30, 2, 15], [10, 2, 15], [1, 2, 15], [5, 2, 15], [5, 2, 15], [1, 2, 15], [1, 2, 15], [10, 2, 15], [30, 2, 15], [10, 2, 15], [1, 2, 15], [5, 2, 15], [120, 3, 0]]    1    none
16    2023_02_28_14_18_29    4    5    True    0    [[1, 4, 15], [30, 5, 0]]    1    none
17    2023_02_28_14_25_30    4    3    False    0    [[1, 4, 15], [10, 3, 15]]    0    2_dark
18    2023_02_28_14_43_37    3    4    True    0    [[60, 3, 15], [5, 3, 15], [10, 4, 0]]    1    none
19    2023_02_28_14_51_09    3    2    False    0    [[10, 3, 15], [1, 3, 15], [1, 3, 15], [5, 2, 15]]    0    2_dark
20    2023_02_28_15_00_35    5    6    True    0    [[120, 6, 0]]    1    cloud
21    2023_02_28_15_16_20    2    3    True    0    [[5, 2, 15], [60, 3, 0]]    1    none
22    2023_02_28_15_40_13    3    4    True    0    [[30, 4, 0]]    1    none
23    2023_02_28_15_47_09    3    4    True    0    [[5, 3, 15], [120, 3, 15], [30, 4, 0]]    1    none
24    2023_02_28_15_59_08    3    4    True    0    [[10, 3, 15], [1, 3, 15], [1, 3, 15], [30, 4, 0]]    1    none
25    2023_02_28_16_06_59    3    2    False    0    [[120, 3, 15], [1, 3, 15], [10, 3, 15], [30, 3, 15], [1, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [30, 3, 15], [10, 3, 15], [5, 3, 15], [1, 3, 15], [60, 3, 15], [5, 2, 15]]    0    2_dark
26    2023_02_28_16_35_29    2    2    False    0    [[30, 2, 15], [1, 2, 15], [10, 2, 15], [120, 2, 15], [1, 2, 15], [60, 2, 15], [1, 2, 15], [5, 2, 15], [10, 2, 15], [5, 2, 15], [1, 2, 15], [5, 2, 15], [5, 2, 15], [30, 2, 15], [10, 2, 15]]    1    none
27    2023_02_28_16_52_50    3    4    True    0    [[120, 4, 0]]    1    none
