event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    0    0    207.01    0    0    2_dark
2    13.51    83.51    190.0    1    1    none
3    20.66    20.66    120.0    1    1    none
4    0    0    0.0    0    0    2_dark
5    60.08    97.08    97.0    1    1    none
6    17.82    117.83    160.01    1    1    none
7    35.63    55.63    80.0    1    1    none
8    27.47    53.47    56.0    1    1    none
9    0    0    1.0    0    0    2_dark
10    0    0    0.0    0    0    melting
11    118.46    118.46    120.0    1    1    none
12    59.15    59.15    120.0    1    1    none
13    68.95    161.95    213.0    1    1    none
14    29.66    202.67    293.01    1    1    none
15    112.31    226.31    234.0    1    1    none
16    1.84    2.84    31.0    1    1    none
17    0    0    1.0    0    0    2_dark
18    1.55    66.55    75.0    1    1    none
19    0    0    12.0    0    1    2_dark
20    37.05    37.05    120.0    1    1    cloud
21    26.62    31.62    65.0    1    1    none
22    30.08    30.08    30.0    1    1    none
23    17.64    142.64    155.0    1    1    none
24    10.0    10.0    42.0    1    1    none
25    0    0    284.0    0    1    2_dark
26    0    0    294.0    0    1    none
27    71.54    71.54    120.0    1    1    none
