event_number,event_time_[s],diss_exposure_time_[s],diss_succes,diss_power_[muW],diss_wavelength_[nm],pp_divider,ratio_dark_ion_events,use_data,reason
1,1677751473.8605406,10,0,10,250,100,1.0,1,none
1,1677751473.8605406,30,1,10,250,100,0.0,1,none
2,1677751997.6999667,5,0,10,250,100,1.0,1,none
2,1677751997.6999667,10,0,10,250,100,1.0,1,none
2,1677751997.6999667,5,0,10,250,100,1.0,1,none
2,1677751997.6999667,1,0,10,250,100,1.0,1,none
2,1677751997.6999667,30,1,10,250,100,0.0,1,none
3,1677752467.5012205,10,1,10,250,100,0.0,1,none
4,1677752835.6765165,5,0,10,250,100,1.0,1,none
4,1677752835.6765165,30,1,10,250,100,0.0,1,none
5,1677753560.666127,1,0,10,250,100,1.0,1,none
5,1677753560.666127,30,1,10,250,100,0.0,1,none
6,1677753961.6369407,1,0,10,250,100,1.0,1,none
6,1677753961.6369407,5,0,10,250,100,1.0,1,none
6,1677753961.6369407,1,0,10,250,100,1.0,1,none
6,1677753961.6369407,1,0,10,250,100,1.0,1,none
6,1677753961.6369407,10,1,10,250,100,0.0,1,none
7,1677754372.3355281,30,1,10,250,100,0.0,1,none
8,1677755333.4724064,1,0,10,250,100,1.0,1,none
8,1677755333.4724064,1,0,10,250,100,1.0,1,none
8,1677755333.4724064,30,0,10,250,100,1.0,1,none
8,1677755333.4724064,5,0,10,250,100,1.0,1,none
8,1677755333.4724064,5,0,10,250,100,1.0,1,none
8,1677755333.4724064,5,0,10,250,100,1.0,1,none
8,1677755333.4724064,1,0,10,250,100,1.0,1,none
8,1677755333.4724064,10,0,10,250,100,1.0,1,none
8,1677755333.4724064,1,0,10,250,100,1.0,1,none
8,1677755333.4724064,10,1,10,250,100,0.0,1,none
9,1677755859.3116455,10,0,10,250,100,1.0,1,none
9,1677755859.3116455,30,1,10,250,100,0.0,1,none
10,1677756562.686841,10,1,10,250,100,0.0,1,none
11,1677757524.060556,10,1,10,250,100,0.0,1,none
12,1677758183.621607,1,0,10,250,100,1.0,1,none
12,1677758183.621607,5,0,10,250,100,1.0,1,melting
12,1677758183.621607,10,0,10,250,100,1.0,1,none
12,1677758183.621607,5,0,10,250,100,1.0,1,none
12,1677758183.621607,60,1,10,250,100,0.0,1,none
13,1677759442.5686924,10,1,10,250,100,0.0,1,melting
14,1677762275.1441867,10,0,10,250,100,1.0,1,melting
14,1677762275.1441867,30,1,10,250,100,0.0,1,none
15,1677763391.615804,1,0,10,250,100,1.0,1,none
15,1677763391.615804,120,1,10,250,100,0.0,1,melting
16,1677764205.857507,5,0,10,250,100,1.0,1,melting
16,1677764205.857507,30,1,10,250,100,0.0,1,none
17,1677765830.7315786,5,1,10,250,100,0.0,1,melting
18,1677766199.5911348,5,0,10,250,100,1.0,1,melting
18,1677766199.5911348,1,0,10,250,100,1.0,1,melting
18,1677766199.5911348,5,0,10,250,100,1.0,1,none
18,1677766199.5911348,30,0,10,250,100,1.0,1,none
18,1677766199.5911348,10,1,10,250,100,0.0,1,none
19,1677767904.3085124,5,0,10,250,100,1.0,1,none
19,1677767904.3085124,5,1,10,250,100,0.0,1,none
20,1677768584.7172434,30,1,10,250,100,0.0,1,none
21,1677770822.0892427,60,1,10,250,100,0.0,1,empty
22,1677771251.2030277,5,1,10,250,100,0.0,1,none
