event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    8.42    18.42    40.0    1    1    none
2    18.0    39.0    51.01    1    1    none
3    7.01    7.01    10.0    1    1    none
4    16.76    21.76    35.0    1    1    none
5    12.05    13.05    31.0    1    1    none
6    1.31    9.31    18.0    1    1    none
7    19.19    19.19    30.0    1    1    none
8    6.78    65.78    69.0    1    1    none
9    10.96    20.96    40.0    1    1    none
10    3.91    3.91    10.0    1    1    none
11    3.16    3.16    10.0    1    1    none
12    20.51    41.51    81.0    1    1    none
13    -1    -1.0    10.0    1    0    melting
14    13.87    23.87    40.0    1    0    none
15    36.82    37.82    121.0    1    0    melting
16    18.03    23.03    35.0    1    1    none
17    2.03    2.03    5.0    1    1    melting
18    7.35    48.35    51.0    1    1    none
19    1.72    6.72    10.0    1    1    none
20    6.57    6.57    30.0    1    1    none
21    10.77    10.77    60.0    1    1    empty
22    2.82    2.82    5.0    1    1    none
