frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    236008    76493
473.5    203581    52951
473.7    187134    50318
473.9    190995    50479
474.1    188719    55246
474.3    193884    57656
474.5    180572    51492
474.7    139545    30322
474.9    129973    34429
475.1    109488    26690
475.3    201537    55686
475.5    201427    53450
475.7    207648    54854
475.9    199861    55760
476.1    221706    63123
476.3    221280    59539
476.5    188816    48022
476.7    199097    56949
476.9    211973    66451
477.1    251181    70155
477.3    246291    70699
