event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_08_24_11_01_49    4    4    False    0    [[5, 4, 15], [30, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [1, 4, 15], [10, 4, 15], [30, 4, 15], [60, 4, 15], [5, 4, 15], [1, 4, 15], [10, 4, 15], [1, 4, 15], [60, 4, 15]]    1    none
2    2023_08_24_11_11_09    8    0    False    0    [[30, 0, 0]]    1    empty
3    2023_08_24_11_13_45    4    5    True    0    [[5, 4, 15], [5, 4, 15], [30, 4, 15], [10, 4, 15], [5, 4, 15], [1, 4, 15], [10, 4, 15], [1, 4, 15], [1, 4, 15], [60, 5, 0]]    1    none
4    2023_08_24_11_48_44    3    3    False    0    [[5, 3, 15], [30, 3, 15], [5, 3, 15], [1, 3, 15], [60, 3, 15], [1, 3, 15], [30, 3, 15], [5, 3, 15], [10, 3, 15], [1, 3, 15], [60, 3, 15], [10, 3, 15], [5, 3, 15], [10, 3, 15], [1, 3, 15]]    1    none
5    2023_08_24_12_03_00    6    5    False    0    [[5, 5, 15]]    0    2_dark
6    2023_08_24_12_29_06    3    3    False    0    [[30, 3, 15], [1, 3, 15], [60, 3, 15], [30, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [5, 3, 15], [1, 3, 15], [10, 3, 15], [60, 3, 15], [1, 3, 15], [5, 3, 15], [10, 3, 15], [5, 3, 15]]    1    none
7    2023_08_24_12_43_53    4    3    False    0    [[5, 4, 15], [10, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [30, 4, 15], [5, 4, 15], [10, 4, 15], [30, 3, 15]]    0    2_dark
8    2023_08_24_13_01_44    4    3    False    0    [[5, 4, 15], [1, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [30, 4, 15], [5, 4, 15], [60, 4, 15], [60, 4, 15], [10, 4, 15], [1, 4, 15], [30, 3, 15]]    0    2_dark
9    2023_08_24_13_10_07    5    5    False    0    [[5, 5, 15], [60, 5, 15], [1, 5, 15], [1, 5, 15], [30, 5, 15], [1, 5, 15], [5, 5, 15], [5, 5, 15], [10, 5, 15], [10, 5, 15], [30, 5, 15], [10, 5, 15], [1, 5, 15], [60, 5, 15], [5, 5, 15]]    1    none
10    2023_08_24_13_22_24    4    3    False    0    [[5, 4, 15], [60, 4, 15], [30, 4, 15], [1, 4, 15], [10, 3, 15]]    0    2_dark
11    2023_08_24_13_37_35    3    2    False    0    [[10, 2, 15]]    0    2_dark
12    2023_08_24_14_08_54    4    5    True    0    [[10, 4, 15], [5, 4, 15], [5, 4, 15], [5, 4, 15], [60, 4, 15], [5, 4, 15], [60, 5, 0]]    1    none
13    2023_08_24_14_23_50    4    3    False    0    [[5, 4, 15], [30, 3, 15]]    0    2_dark
14    2023_08_24_14_30_17    5    6    True    0    [[10, 5, 15], [5, 5, 15], [30, 5, 15], [1, 5, 15], [1, 5, 15], [10, 5, 15], [60, 6, 0]]    1    none
15    2023_08_24_14_44_25    5    6    True    0    [[30, 5, 15], [60, 5, 15], [5, 5, 15], [1, 5, 15], [10, 5, 15], [60, 5, 15], [5, 5, 15], [10, 5, 15], [1, 5, 15], [30, 6, 0]]    1    none
16    2023_08_24_14_56_08    5    6    True    0    [[5, 5, 15], [5, 5, 15], [60, 6, 0]]    1    none
17    2023_08_24_15_01_46    5    4    False    0    [[10, 5, 15], [10, 5, 15], [5, 4, 15]]    0    2_dark
18    2023_08_24_15_16_22    4    5    True    0    [[60, 5, 0]]    1    none
19    2023_08_24_15_23_09    4    5    True    0    [[5, 4, 15], [5, 4, 15], [60, 5, 0]]    1    none
20    2023_08_24_15_30_59    4    3    False    0    [[5, 3, 15]]    0    2_dark
21    2023_08_24_15_35_50    4    5    True    0    [[1, 4, 15], [10, 5, 0]]    1    none
22    2023_08_24_15_38_13    4    3    False    0    [[5, 4, 15], [5, 4, 15], [60, 4, 15], [60, 3, 15]]    0    2_dark
23    2023_08_24_16_01_27    3    4    True    0    [[5, 3, 15], [60, 3, 15], [5, 3, 15], [60, 4, 0]]    1    none
24    2023_08_24_16_13_19    5    4    False    0    [[30, 4, 15]]    0    2_dark
25    2023_08_24_16_43_04    3    4    True    0    [[10, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [1, 3, 15], [30, 3, 15], [5, 3, 15], [60, 3, 15], [60, 3, 15], [30, 3, 15], [1, 3, 15], [5, 4, 0]]    1    none
