event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_08_25_11_02_20    3    4    True    0    [[5, 3, 15], [1, 3, 15], [30, 4, 0]]    1    none
2    2023_08_25_11_18_07    5    6    True    0    [[1, 5, 15], [10, 5, 15], [5, 5, 15], [10, 5, 15], [60, 6, 0]]    1    none
3    2023_08_25_11_26_08    5    6    True    0    [[10, 5, 15], [60, 6, 0]]    1    none
4    2023_08_25_11_33_24    4    5    False    0    [[60, 5, 15]]    0    2_dark
5    2023_08_25_11_50_50    6    7    True    0    [[5, 6, 15], [60, 6, 15], [1, 6, 15], [1, 6, 15], [60, 7, 0]]    1    none
6    2023_08_25_12_10_59    6    5    False    0    [[30, 6, 15], [5, 6, 15], [60, 6, 15], [10, 6, 15], [1, 6, 15], [1, 5, 15]]    0    2_dark
7    2023_08_25_12_21_00    5    4    False    0    [[1, 5, 15], [5, 5, 15], [60, 5, 15], [1, 5, 15], [10, 5, 15], [10, 4, 15]]    0    2_dark
8    2023_08_25_12_37_54    7    6    False    0    [[30, 7, 15], [5, 7, 15], [1, 7, 15], [30, 6, 15]]    0    2_dark
9    2023_08_25_12_51_46    6    7    True    0    [[5, 6, 15], [30, 7, 0]]    1    none
10    2023_08_25_12_58_35    6    7    True    0    [[60, 7, 0]]    1    none
11    2023_08_25_13_03_10    6    7    True    0    [[5, 6, 15], [1, 6, 15], [60, 6, 15], [5, 6, 15], [10, 6, 15], [1, 6, 15], [10, 6, 15], [30, 7, 0]]    1    none
12    2023_08_25_13_09_18    6    7    True    0    [[60, 7, 0]]    1    none
13    2023_08_25_13_15_54    6    5    False    0    [[5, 6, 15], [60, 6, 15], [5, 6, 15], [10, 6, 15], [1, 6, 15], [5, 6, 15], [30, 5, 15]]    0    2_dark
14    2023_08_25_13_26_45    6    7    True    0    [[5, 6, 15], [30, 6, 15], [10, 6, 15], [1, 6, 15], [5, 6, 15], [1, 6, 15], [5, 6, 15], [5, 6, 15], [60, 7, 0]]    1    none
15    2023_08_25_13_33_54    6    7    True    0    [[5, 7, 0]]    1    none
16    2023_08_25_13_41_26    6    7    True    0    [[10, 6, 15], [60, 6, 15], [5, 6, 15], [10, 6, 15], [10, 6, 15], [5, 6, 15], [30, 6, 15], [1, 6, 15], [1, 6, 15], [60, 7, 0]]    1    none
17    2023_08_25_13_50_21    6    7    True    0    [[10, 6, 15], [10, 7, 0]]    1    none
18    2023_08_25_13_56_35    6    7    True    0    [[30, 7, 0]]    1    none
19    2023_08_25_14_03_51    8    0    False    0    [[1, 8, 15], [30, 0, 0]]    0    empty
20    2023_08_25_14_14_25    5    6    True    0    [[1, 5, 15], [5, 5, 15], [10, 5, 15], [10, 5, 15], [5, 5, 15], [5, 5, 15], [60, 6, 0]]    1    none
21    2023_08_25_14_25_27    5    6    True    0    [[30, 6, 0]]    1    none
22    2023_08_25_14_30_26    5    6    True    0    [[60, 5, 15], [1, 5, 15], [60, 6, 0]]    1    none
23    2023_08_25_15_13_34    6    5    False    0    [[10, 6, 15], [30, 6, 15], [1, 6, 15], [10, 5, 15]]    0    2_dark
24    2023_08_25_15_42_07    7    8    True    0    [[30, 8, 0]]    1    none
25    2023_08_25_15_54_38    7    8    True    0    [[10, 7, 15], [60, 8, 0]]    1    none
26    2023_08_25_16_00_13    4    5    True    0    [[5, 4, 15], [60, 5, 0]]    1    none
27    2023_08_25_16_08_01    4    5    True    0    [[5, 4, 15], [1, 4, 15], [5, 4, 15], [60, 5, 0]]    1    none
28    2023_08_25_16_25_41    5    6    True    0    [[1, 5, 15], [30, 5, 15], [1, 5, 15], [1, 5, 15], [30, 5, 15], [5, 5, 15], [60, 6, 0]]    1    none
