event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    16.89    16.89    60.0    1    1    none
2    35.74    35.74    60.0    1    1    none
3    26.93    135.93    169.0    1    1    none
4    2.42    125.42    128.0    1    1    none
5    40.87    152.87    172.0    1    0    none
6    36.81    52.81    76.0    1    1    none
7    1.28    63.28    122.0    1    1    none
8    6.92    27.92    31.0    1    1    none
9    14.96    158.96    204.0    1    1    none
10    1.33    88.33    92.0    1    1    none
11    0    0    0.0    0    1    melting
12    10.29    143.29    193.0    1    0    none
13    0    0    66.0    0    0    melting
14    9.38    9.38    30.0    1    1    none
15    10.49    34.49    84.0    1    1    none
16    0    0    10.0    0    1    2_dark
17    4.11    56.16    112.05    1    1    none
18    2.65    123.65    181.0    1    1    none
19    2.38    48.38    106.0    1    1    none
20    0.76    0.76    60.0    1    1    none
21    0.75    194.75    224.0    1    1    none
22    12.66    12.66    30.0    1    1    none
23    13.96    95.96    112.0    1    1    none
24    32.15    38.15    66.0    1    1    none
25    0    0    6.0    0    1    2_dark
26    11.91    44.91    93.0    1    1    none
27    37.49    42.49    65.0    1    1    none
28    0    0    76.0    0    1    2_dark
