event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    0    0    113.0    0    1    2_dark
2    3.54    8.54    10.0    1    1    none
3    0    0    234.0    0    1    none
4    0    0    234.0    0    1    none
5    0    0    102.0    0    1    2_dark
6    0    0    92.0    0    1    2_dark
7    26.77    227.77    231.0    1    1    none
8    0    0    76.0    0    1    2_dark
9    0    0    0.0    0    1    none
10    0    0    234.0    0    1    none
11    0    0    234.0    0    1    none
12    0    0    18.0    0    1    2_dark
13    57.05    57.05    60.0    1    1    none
14    0    0    128.0    0    1    2_dark
15    0    0    234.0    0    1    none
16    18.15    166.15    178.0    1    1    none
17    5.91    91.91    146.0    1    1    none
18    52.33    87.33    95.0    1    1    none
19    0    0    234.0    0    0    none
20    0    0    17.0    0    1    2_dark
21    0    0    194.0    0    1    2_dark
22    3.15    202.15    204.0    1    1    none
23    38.99    98.99    120.0    1    1    none
24    0    0    234.0    0    1    none
25    7.02    59.02    112.0    1    1    none
