event_number,event_time_[s],diss_exposure_time_[s],diss_succes,diss_power_[muW],diss_wavelength_[nm],pp_divider,ratio_dark_ion_events,use_data,reason
1,1692954140.3900023,5,0,7000,500,10,1.0,1,none
1,1692954140.3900023,1,0,7000,500,10,1.0,1,none
1,1692954140.3900023,30,1,7000,500,10,0.0,1,none
2,1692955087.2497067,1,0,7000,500,10,1.0,1,none
2,1692955087.2497067,10,0,7000,500,10,1.0,1,none
2,1692955087.2497067,5,0,7000,500,10,1.0,1,none
2,1692955087.2497067,10,0,7000,500,10,1.0,1,none
2,1692955087.2497067,60,1,7000,500,10,0.0,1,none
3,1692955568.8112493,10,0,7000,500,10,1.0,1,none
3,1692955568.8112493,60,1,7000,500,10,0.0,1,none
4,1692956004.2423644,60,0,7000,500,10,1.0,0,2_dark
5,1692957050.4984038,5,0,7000,500,10,1.0,1,none
5,1692957050.4984038,60,0,7000,500,10,1.0,1,none
5,1692957050.4984038,1,0,7000,500,10,1.0,1,none
5,1692957050.4984038,1,0,7000,500,10,1.0,1,none
5,1692957050.4984038,60,1,7000,500,10,0.0,1,none
6,1692958259.6178,30,0,7000,500,10,1.0,1,none
6,1692958259.6178,5,0,7000,500,10,1.0,1,none
6,1692958259.6178,60,0,7000,500,10,1.0,1,none
6,1692958259.6178,10,0,7000,500,10,1.0,1,none
6,1692958259.6178,1,0,7000,500,10,1.0,1,none
6,1692958259.6178,1,0,7000,500,10,1.0,0,2_dark
7,1692958860.4063165,1,0,7000,500,10,1.0,1,none
7,1692958860.4063165,5,0,7000,500,10,1.0,1,none
7,1692958860.4063165,60,0,7000,500,10,1.0,1,none
7,1692958860.4063165,1,0,7000,500,10,1.0,1,none
7,1692958860.4063165,10,0,7000,500,10,1.0,1,none
7,1692958860.4063165,10,0,7000,500,10,1.0,0,2_dark
8,1692959874.6190135,30,0,7000,500,10,1.0,1,none
8,1692959874.6190135,5,0,7000,500,10,1.0,1,none
8,1692959874.6190135,1,0,7000,500,10,1.0,1,none
8,1692959874.6190135,30,0,7000,500,10,1.0,0,2_dark
9,1692960706.844325,5,0,7000,500,10,1.0,1,none
9,1692960706.844325,30,1,7000,500,10,0.0,1,none
10,1692961115.269015,60,1,7000,500,10,0.0,1,none
11,1692961390.6025288,5,0,7000,500,10,1.0,1,none
11,1692961390.6025288,1,0,7000,500,10,1.0,1,none
11,1692961390.6025288,60,0,7000,500,10,1.0,1,none
11,1692961390.6025288,5,0,7000,500,10,1.0,1,none
11,1692961390.6025288,10,0,7000,500,10,1.0,1,none
11,1692961390.6025288,1,0,7000,500,10,1.0,1,none
11,1692961390.6025288,10,0,7000,500,10,1.0,1,none
11,1692961390.6025288,30,1,7000,500,10,0.0,1,none
12,1692961758.3146675,60,1,7000,500,10,0.0,1,none
13,1692962154.8095398,5,0,7000,500,10,1.0,1,none
13,1692962154.8095398,60,0,7000,500,10,1.0,1,none
13,1692962154.8095398,5,0,7000,500,10,1.0,1,none
13,1692962154.8095398,10,0,7000,500,10,1.0,1,none
13,1692962154.8095398,1,0,7000,500,10,1.0,1,none
13,1692962154.8095398,5,0,7000,500,10,1.0,1,none
13,1692962154.8095398,30,0,7000,500,10,1.0,0,2_dark
14,1692962805.9269428,5,0,7000,500,10,1.0,1,none
14,1692962805.9269428,30,0,7000,500,10,1.0,1,none
14,1692962805.9269428,10,0,7000,500,10,1.0,1,none
14,1692962805.9269428,1,0,7000,500,10,1.0,1,none
14,1692962805.9269428,5,0,7000,500,10,1.0,1,none
14,1692962805.9269428,1,0,7000,500,10,1.0,1,none
14,1692962805.9269428,5,0,7000,500,10,1.0,1,none
14,1692962805.9269428,5,0,7000,500,10,1.0,1,none
14,1692962805.9269428,60,1,7000,500,10,0.0,1,none
15,1692963234.5843124,5,1,7000,500,10,0.0,1,none
