event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_08_31_12_31_09    3    4    True    0    [[60, 4, 0]]    1    none
2    2023_08_31_12_34_05    3    4    True    0    [[1, 3, 15], [60, 3, 15], [10, 4, 0]]    1    none
3    2023_08_31_12_39_49    3    4    True    0    [[5, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [5, 3, 15], [60, 3, 15], [10, 3, 15], [5, 3, 15], [1, 3, 15], [30, 3, 15], [1, 3, 15], [10, 3, 15], [60, 4, 0]]    1    none
4    2023_08_31_13_04_25    5    5    False    0    [[1, 5, 0]]    1    none
5    2023_08_31_13_38_32    3    2    False    0    [[1, 3, 15], [10, 3, 15], [5, 3, 15], [5, 3, 15], [1, 3, 15], [60, 2, 15]]    0    2_dark
6    2023_08_31_14_41_29    3    3    False    0    [[1, 3, 15], [5, 3, 15], [5, 3, 15], [1, 3, 15], [30, 3, 15], [10, 3, 15], [60, 3, 15], [1, 3, 15], [5, 3, 15], [10, 3, 15], [60, 3, 15], [5, 3, 15], [1, 3, 15], [30, 3, 15], [10, 3, 15]]    1    none
7    2023_08_31_14_55_54    3    4    True    0    [[5, 3, 15], [5, 3, 15], [30, 3, 15], [60, 4, 0]]    1    none
8    2023_08_31_15_11_21    4    5    True    0    [[10, 4, 15], [30, 4, 15], [1, 4, 15], [30, 5, 0]]    1    none
9    2023_08_31_15_16_11    4    4    False    0    [[10, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [60, 4, 15], [1, 4, 15], [60, 4, 15], [30, 4, 15], [10, 4, 15], [30, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [1, 4, 15]]    1    none
10    2023_08_31_15_43_06    3    2    False    0    [[30, 3, 15], [5, 3, 15], [10, 3, 15], [30, 2, 15]]    1    none
11    2023_08_31_16_16_07    7    8    True    0    [[5, 8, 0]]    1    none
12    2023_08_31_16_20_14    7    8    True    0    [[5, 7, 15], [10, 7, 15], [5, 7, 15], [60, 7, 15], [5, 7, 15], [5, 7, 15], [1, 7, 15], [1, 7, 15], [30, 7, 15], [30, 7, 15], [10, 8, 0]]    1    none
13    2023_08_31_16_44_18    3    4    True    0    [[30, 4, 0]]    1    none
14    2023_08_31_16_48_56    3    2    False    0    [[30, 3, 15], [60, 2, 15]]    0    2_dark
15    2023_08_31_16_53_27    8    0    False    0    [[5, 8, 15], [60, 8, 15], [5, 8, 15], [5, 8, 15], [10, 8, 15], [30, 0, 0]]    0    2_dark
16    2023_08_31_17_03_09    4    4    False    0    [[10, 4, 15], [5, 4, 15], [5, 4, 15], [1, 4, 15], [1, 4, 15], [30, 4, 15], [1, 4, 15], [60, 4, 15], [5, 4, 15], [30, 4, 15], [10, 4, 15], [1, 4, 15], [60, 4, 15], [10, 4, 15], [5, 4, 15]]    1    none
17    2023_08_31_17_12_09    8    0    False    0    [[30, 8, 15], [1, 8, 15], [10, 0, 0]]    1    empty
18    2023_08_31_17_26_40    3    4    True    0    [[10, 3, 15], [10, 3, 15], [60, 3, 15], [60, 4, 0]]    0    dark_reappeared
19    2023_08_31_17_41_09    1    2    False    0    [[1, 2, 15]]    0    2_dark
20    2023_08_31_17_52_06    5    4    False    0    [[60, 5, 15], [60, 5, 15], [1, 5, 15], [10, 4, 15]]    0    2_dark
21    2023_08_31_18_12_26    5    4    False    0    [[10, 5, 15], [1, 5, 15], [30, 5, 15], [30, 5, 15], [5, 4, 15]]    0    2_dark
22    2023_08_31_18_35_51    4    0    False    0    [[10, 4, 15], [1, 4, 15], [1, 4, 15], [60, 0, 0]]    1    melting
