event_number,event_time_[s],diss_exposure_time_[s],diss_succes,diss_power_[muW],diss_wavelength_[nm],pp_divider,ratio_dark_ion_events,use_data,reason
1,1693302799.7989688,60,1,9000,500,10,0.0,1,none
2,1693304057.3909552,60,1,9000,500,10,0.0,1,none
3,1693304292.718393,10,0,9000,500,10,1.0,1,none
3,1693304292.718393,1,0,9000,500,10,1.0,1,none
3,1693304292.718393,5,0,9000,500,10,1.0,1,none
3,1693304292.718393,1,0,9000,500,10,1.0,1,none
3,1693304292.718393,5,0,9000,500,10,1.0,1,none
3,1693304292.718393,10,0,9000,500,10,1.0,1,none
3,1693304292.718393,30,0,9000,500,10,1.0,1,none
3,1693304292.718393,30,0,9000,500,10,1.0,1,none
3,1693304292.718393,1,0,9000,500,10,1.0,1,none
3,1693304292.718393,1,0,9000,500,10,1.0,1,none
3,1693304292.718393,5,0,9000,500,10,1.0,1,none
3,1693304292.718393,10,0,9000,500,10,1.0,1,none
3,1693304292.718393,60,1,9000,500,10,0.0,1,none
4,1693304700.6960511,5,0,9000,500,10,1.0,1,none
4,1693304700.6960511,1,0,9000,500,10,1.0,1,none
4,1693304700.6960511,30,0,9000,500,10,1.0,1,none
4,1693304700.6960511,1,0,9000,500,10,1.0,1,none
4,1693304700.6960511,10,0,9000,500,10,1.0,1,none
4,1693304700.6960511,1,0,9000,500,10,1.0,1,none
4,1693304700.6960511,10,0,9000,500,10,1.0,1,none
4,1693304700.6960511,5,0,9000,500,10,1.0,1,none
4,1693304700.6960511,60,0,9000,500,10,1.0,1,none
4,1693304700.6960511,5,1,9000,500,10,0.0,1,none
5,1693305059.3656366,30,0,9000,500,10,1.0,1,none
5,1693305059.3656366,5,0,9000,500,10,1.0,1,none
5,1693305059.3656366,1,0,9000,500,10,1.0,1,none
5,1693305059.3656366,10,0,9000,500,10,1.0,1,none
5,1693305059.3656366,10,0,9000,500,10,1.0,1,none
5,1693305059.3656366,1,0,9000,500,10,1.0,1,none
5,1693305059.3656366,30,0,9000,500,10,1.0,1,none
5,1693305059.3656366,5,0,9000,500,10,1.0,1,none
5,1693305059.3656366,5,0,9000,500,10,1.0,1,none
5,1693305059.3656366,5,0,9000,500,10,1.0,1,none
5,1693305059.3656366,10,0,9000,500,10,1.0,1,none
5,1693305059.3656366,60,1,9000,500,10,0.0,1,none
6,1693306832.9717493,1,0,9000,500,10,1.0,1,none
