event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_08_01_13_09_46    5    4    False    0    [[30, 5, 15], [5, 5, 15], [5, 5, 15], [10, 5, 15], [60, 5, 15], [1, 5, 15], [1, 5, 15], [1, 5, 15], [10, 4, 15]]    0    2_dark
2    2023_08_01_14_12_08    3    4    True    0    [[5, 3, 15], [5, 4, 0]]    1    none
3    2023_08_01_14_14_35    3    3    False    0    [[5, 3, 15], [1, 3, 15], [30, 3, 15], [30, 3, 15], [1, 3, 15], [10, 3, 15], [1, 3, 15], [1, 3, 15], [60, 3, 15], [60, 3, 15], [10, 3, 15], [5, 3, 15], [10, 3, 15], [5, 3, 15], [5, 3, 15]]    1    none
4    2023_08_01_14_39_25    4    4    False    0    [[60, 4, 15], [1, 4, 15], [1, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [5, 4, 15], [10, 4, 15], [60, 4, 15], [30, 4, 15], [10, 4, 15], [1, 4, 15], [30, 4, 15], [5, 4, 15], [5, 4, 15]]    1    none
5    2023_08_01_14_59_34    4    3    False    0    [[30, 4, 15], [5, 4, 15], [1, 4, 15], [1, 4, 15], [30, 4, 15], [10, 4, 15], [5, 4, 15], [10, 4, 15], [10, 4, 15], [5, 3, 15]]    0    2_dark
6    2023_08_01_15_16_11    4    3    False    0    [[1, 4, 15], [5, 4, 15], [1, 4, 15], [10, 4, 15], [10, 4, 15], [5, 4, 15], [60, 4, 15], [5, 3, 15]]    0    2_dark
7    2023_08_01_15_27_20    3    4    True    0    [[5, 3, 15], [10, 3, 15], [60, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15], [5, 3, 15], [30, 3, 15], [10, 3, 15], [60, 3, 15], [5, 3, 15], [30, 4, 0]]    1    none
8    2023_08_01_16_15_21    3    2    False    0    [[1, 3, 15], [5, 3, 15], [60, 3, 15], [10, 3, 15], [60, 2, 15]]    0    2_dark
9    2023_08_01_16_30_13    2    2    False    0    [[1, 2, 15]]    1    none
10    2023_08_01_16_55_03    6    6    False    0    [[5, 6, 15], [10, 6, 15], [1, 6, 15], [60, 6, 15], [1, 6, 15], [1, 6, 15], [5, 6, 15], [5, 6, 15], [30, 6, 15], [10, 6, 15], [1, 6, 15], [10, 6, 15], [5, 6, 15], [60, 6, 15], [30, 6, 15]]    1    none
11    2023_08_02_10_55_56    4    4    False    0    [[30, 4, 15], [1, 4, 15], [10, 4, 15], [10, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [60, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [60, 4, 15], [30, 4, 15]]    1    none
12    2023_08_02_11_27_02    4    3    False    0    [[1, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [1, 4, 15], [60, 3, 15]]    0    2_dark
13    2023_08_02_11_59_14    3    4    True    0    [[60, 4, 0]]    1    none
14    2023_08_02_12_19_19    4    3    False    0    [[10, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [1, 4, 15], [5, 4, 15], [60, 4, 15], [30, 4, 15], [10, 4, 15], [60, 3, 15]]    0    2_dark
15    2023_08_02_12_36_51    4    4    False    0    [[5, 4, 15], [30, 4, 15], [60, 4, 15], [10, 4, 15], [1, 4, 15], [5, 4, 15], [60, 4, 15], [1, 4, 15], [10, 4, 15], [30, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15]]    1    none
16    2023_08_02_13_40_19    4    5    True    0    [[5, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [60, 4, 15], [5, 4, 15], [1, 4, 15], [60, 4, 15], [1, 4, 15], [30, 5, 0]]    1    none
17    2023_08_02_13_56_32    4    5    True    0    [[5, 4, 15], [1, 4, 15], [30, 4, 15], [10, 4, 15], [10, 4, 15], [30, 4, 15], [60, 5, 0]]    1    none
18    2023_08_02_14_25_48    3    4    True    0    [[30, 3, 15], [5, 3, 15], [60, 4, 0]]    1    none
19    2023_08_02_15_41_00    5    5    False    0    [[1, 5, 15], [5, 5, 15], [1, 5, 15], [5, 5, 15], [1, 5, 15], [60, 5, 15], [10, 5, 15], [1, 5, 15], [10, 5, 15], [5, 5, 15], [5, 5, 15], [30, 5, 15], [30, 5, 15], [60, 5, 15], [10, 5, 15]]    1    none
20    2023_08_02_16_00_59    3    2    False    0    [[5, 3, 15], [1, 3, 15], [10, 3, 15], [1, 3, 15], [5, 2, 15]]    0    2_dark
21    2023_08_02_16_11_30    4    3    False    0    [[5, 4, 15], [5, 4, 15], [30, 4, 15], [1, 4, 15], [1, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [1, 4, 15], [60, 4, 15], [10, 4, 15], [5, 4, 15], [60, 4, 15], [30, 3, 15]]    0    2_dark
22    2023_08_02_16_27_14    4    5    True    0    [[30, 4, 15], [1, 4, 15], [30, 4, 15], [60, 4, 15], [60, 4, 15], [1, 4, 15], [1, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [5, 5, 0]]    1    none
23    2023_08_02_16_44_57    4    5    True    0    [[60, 4, 15], [60, 5, 0]]    1    none
24    2023_08_02_16_49_38    4    4    False    0    [[5, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [10, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [60, 4, 15], [5, 4, 15], [60, 4, 15], [30, 4, 15], [10, 4, 15], [1, 4, 15], [30, 4, 15]]    1    none
25    2023_08_02_17_06_40    3    4    True    0    [[1, 3, 15], [10, 3, 15], [10, 3, 15], [1, 3, 15], [30, 3, 15], [60, 4, 0]]    1    none
