event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    21.42    27.42    36.0    1    1    none
2    18.7    44.7    86.0    1    1    none
3    55.71    65.71    70.0    1    1    none
4    0    0    0.0    0    0    2_dark
5    5.19    72.19    127.0    1    1    none
6    0    0    106.0    0    1    2_dark
7    0    0    77.0    0    1    2_dark
8    0    0    36.0    0    1    2_dark
9    9.6    14.6    35.0    1    1    none
10    52.0    52.0    60.0    1    1    none
11    1.31    93.31    122.0    1    1    none
12    31.26    31.26    60.0    1    1    none
13    0    0    86.0    0    1    2_dark
14    36.14    98.14    122.0    1    1    none
15    2.99    2.99    5.0    1    1    none
16    11.71    143.71    192.0    1    1    none
17    7.87    17.87    20.0    1    1    none
18    2.58    2.58    30.0    1    1    none
19    0    0    1.0    0    0    empty
20    45.33    81.33    96.0    1    1    none
21    13.06    13.06    30.0    1    1    none
22    47.2    108.2    121.0    1    0    none
23    0    0    41.0    0    1    2_dark
24    16.73    16.73    30.0    1    1    none
25    11.4    21.4    70.0    1    1    none
26    52.03    57.03    65.0    1    1    none
27    42.53    53.53    71.0    1    1    none
28    51.44    119.44    128.0    1    1    none
