event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    0    0    234.0    0    0    none
2    0    0    0.0    0    1    empty
3    29.06    97.06    128.0    1    1    none
4    0    0    234.0    0    1    none
5    0    0    0.0    0    1    2_dark
6    0    0    234.0    0    1    none
7    0    0    67.0    0    1    2_dark
8    0    0    188.0    0    0    2_dark
9    0    0    234.0    0    1    none
10    0    0    96.0    0    1    2_dark
11    0    0    0.0    0    1    2_dark
12    21.7    111.7    150.0    1    1    none
13    0    0    5.0    0    1    2_dark
14    23.05    80.05    117.0    1    1    none
15    30.2    212.2    212.0    1    1    none
16    43.38    53.38    70.0    1    1    none
17    0    0    20.0    0    1    2_dark
18    41.08    41.08    60.0    1    1    none
19    7.82    17.82    70.0    1    1    none
20    0    0    0.0    0    1    2_dark
21    0.74    1.74    11.0    1    1    none
22    0    0    70.0    0    1    2_dark
23    35.11    105.11    130.0    1    1    none
24    0    0    0.0    0    1    2_dark
25    1.28    214.28    218.0    1    1    none
