event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    5.4    62.4    67.0    1    1    none
2    13.73    135.73    152.0    1    1    none
3    0.79    16.79    26.0    1    1    none
4    0.79    0.79    5.0    1    1    none
5    0    0    0.0    0    1    2_dark
6    0    0    234.0    0    0    none
7    10.2    234.29    234.09    1    1    none
8    48.44    53.44    65.0    1    1    none
9    0    0    10.0    0    1    2_dark
10    0    0    234.0    0    0    none
11    34.72    40.72    66.0    1    1    none
12    22.93    22.93    60.0    1    1    none
13    9.93    11.93    32.0    1    1    none
14    3.04    4.04    31.0    1    1    none
15    0    0    0.0    0    1    none
16    44.14    65.14    81.0    1    1    none
17    11.43    114.43    133.0    1    1    none
18    4.89    4.89    30.0    1    1    none
19    6.03    6.03    30.0    1    1    none
20    9.67    9.67    30.0    1    1    none
21    2.01    12.01    15.0    1    1    none
22    21.56    21.56    60.0    1    1    none
23    0    0    20.0    0    1    2_dark
24    1.87    1.87    30.0    1    1    none
25    10.2    107.2    107.0    1    0    none
26    7.31    45.31    48.0    1    0    none
27    19.54    20.54    31.0    1    1    none
28    8.13    13.13    35.0    1    1    none
29    21.7    59.7    98.0    1    1    none
30    13.94    13.94    60.0    1    1    none
31    18.22    23.22    35.0    1    1    none
32    2.58    7.58    15.0    1    1    none
33    8.35    13.35    35.0    1    1    none
34    6.68    6.68    10.0    1    1    none
35    16.33    37.33    51.0    1    1    none
36    11.31    23.31    72.0    1    1    none
37    0    0    6.0    0    1    2_dark
38    20.48    20.48    60.0    1    1    none
39    15.44    25.44    40.0    1    1    none
40    17.55    20.55    63.0    1    1    none
41    19.28    19.28    30.0    1    1    none
42    14.48    14.48    30.0    1    1    none
43    1.34    11.34    40.0    1    1    none
