event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    54.73    91.73    97.0    1    1    none
2    45.83    117.83    132.0    1    1    none
3    0.73    31.73    41.0    1    1    none
4    8.22    49.22    101.0    1    1    none
5    0    0    0.0    0    1    none
6    6.55    81.55    85.0    1    1    none
7    2.95    108.95    116.0    1    1    none
8    0    0    234.0    0    1    none
9    0    0    234.0    0    1    none
10    0    0    234.0    0    1    none
11    1.57    190.57    194.0    1    1    none
12    0    0    234.0    0    1    none
13    0    0    234.0    0    1    none
14    27.0    76.0    109.0    1    1    none
15    60.2    131.2    131.0    1    1    none
16    33.13    190.13    217.0    1    1    none
17    1.32    6.32    15.0    1    1    none
18    0    0    234.0    0    1    none
19    0    0    234.0    0    1    none
20    1.88    2.88    6.0    1    1    none
21    0    0    234.0    0    1    none
