frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523.7    458296.0    126127.33333333333
523.9    456336.0    125012.33333333331
524.1    422745.0000000001    117129.66666666666
524.3    442440.6666666667    118158.0
524.5    407656.3333333334    108844.00000000001
524.7    409503.3333333334    115180.66666666667
524.9    366440.6666666667    99537.99999999999
525.1    312780.3333333333    83745.33333333334
525.3    228405.00000000003    61931.33333333333
525.5    388929.6666666667    114100.33333333333
525.7    412915.66666666674    116038.33333333334
525.9    407636.3333333333    115703.66666666669
526.1    430008.3333333333    122680.0
526.3    426809.00000000006    117721.66666666664
526.5    434866.6666666666    121229.33333333333
526.7    429707.3333333334    115231.00000000001
526.9    468164.3333333334    140078.66666666663
527.1    443547.3333333333    127590.66666666664
527.3    452929.6666666667    127321.0
527.5    447627.3333333333    126086.66666666666
527.7    466329.0    130794.0
