frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    636300    170180
522.5    700223    191803
523.0    686499    196204
523.5    643061    175812
524.0    662799    172777
524.5    671410    181316
525.0    741164    201304
525.5    663279    187679
526.0    742052    197779
526.5    766764    198555
527.0    449898    107991
527.5    751119    206004
528.0    720064    186933
528.5    767166    194416
529.0    726236    199639
529.5    674113    179258
530.0    695025    190840
530.5    684378    187222
531.0    682076    186895
531.5    685427    179924
532.0    689284    182778
