frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    472566    137293
522.5    497056    134372
523.0    513547    147154
523.5    444334    126790
524.0    476291    142133
524.5    439487    117085
525.0    392095    113934
525.5    432092    125198
526.0    420756    114548
526.5    238100    56349
527.0    173749    50284
527.5    356194    96151
528.0    421459    123062
528.5    422184    117462
529.0    479587    141566
529.5    457011    126025
530.0    461250    124679
530.5    485384    136549
531.0    508330    153474
531.5    530022    155543
532.0    512694    146267
