frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    615946    171933
522.5    637851    165119
523.0    630706    176179
523.5    615251    169483
524.0    579076    158185
524.5    576359    157682
525.0    621727    190017
525.5    609167    179805
526.0    654464    182090
526.5    711691    197020
527.0    441586    109176
527.5    626306    179183
528.0    661831    178985
528.5    613708    164260
529.0    638230    183227
529.5    670047    190712
530.0    620736    174219
530.5    636001    174439
531.0    590643    162136
531.5    601113    169710
532.0    620656    167254
