frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    427895    95553
471.0    442536    116049
471.2    381846    93041
471.4    421587    112152
471.6    433787    101261
471.8    421874    117222
472.0    434444    110694
472.2    146205    26083
472.4    428948    100606
472.6    387914    86494
472.8    326603    70112
473.0    385988    81147
473.2    331992    77216
473.4    416969    91035
473.6    374933    88342
473.8    362285    74957
474.0    370268    94506
474.2    363760    97215
474.4    412021    118723
474.6    469906    124755
474.8    379315    80650
475.0    433706    105913
475.2    426186    105161
475.4    430494    116178
475.6    436582    95379
475.8    428944    87427
476.0    423192    96056
476.2    441697    100564
476.4    370032    80343
476.6    407234    97525
476.8    449064    95698
