event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    30.08    165.08    165.0    1    1    none
2    1.07    31.07    35.0    1    1    none
3    14.54    19.54    35.0    1    1    none
4    2.87    2.87    5.0    1    1    none
5    0    0    0.0    0    0    2_dark
6    11.96    16.96    125.0    1    1    none
7    5.4    40.4    65.0    1    1    none
8    3.78    3.78    10.0    1    1    none
9    1.9    7.9    11.0    1    1    none
10    1.0    11.0    11.0    1    1    none
11    23.3    23.3    30.0    1    1    none
12    24.78    30.78    126.0    1    1    none
13    11.45    17.45    126.0    1    1    none
14    1.3    1.3    10.0    1    1    none
15    4.24    14.24    40.0    1    1    none
16    6.55    22.55    136.0    1    0    none
17    25.91    91.91    5.0    0    0    dark_reappeared
18    22.65    27.65    35.0    1    1    none
19    0    0    0.0    0    0    dark_reappeared
20    0    0    6.0    0    1    2_dark
21    3.26    49.27    1.0    0    0    dark_reappeared
22    4.54    4.54    5.0    1    1    melting
23    12.41    28.41    76.0    1    1    none
24    1.56    2.56    11.0    1    1    none
25    6.08    6.08    30.0    1    1    none
26    24.36    29.36    65.02    1    1    none
27    1.34    61.34    180.0    1    1    none
28    0    0    5.0    0    1    2_dark
29    0    0    0.0    0    1    2_dark
30    2.85    5.85    13.0    1    1    none
