event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    14.25    61.25    107.0    1    1    none
2    25.4    30.4    35.0    1    0    dark_reappeared
3    0    0    42.0    0    0    2_dark
4    0    0    2.0    0    0    2_dark
5    51.74    57.74    126.0    1    1    none
6    30.6    30.6    120.0    1    1    none
7    2.8    37.8    40.0    1    1    none
8    7.06    7.06    10.0    1    1    none
9    0.7    0.7    1.0    1    1    none
10    53.28    124.28    191.0    1    1    none
11    8.37    19.37    21.0    1    1    none
12    5.5    6.65    121.15    1    1    none
13    0.7    56.7    57.0    1    1    none
14    37.69    43.69    126.0    1    1    none
15    10.78    10.78    30.0    1    1    none
16    5.08    31.08    31.0    1    1    none
17    24.0    24.0    120.0    1    1    none
18    0.4    0.4    10.0    1    1    none
19    1.35    6.35    65.0    1    1    none
20    6.34    11.37    125.03    1    1    none
21    20.05    30.05    130.0    1    1    none
22    10.27    55.27    75.0    1    1    none
23    71.0    99.0    148.0    1    1    none
24    2.0    2.0    2.0    1    1    none
25    58.06    58.06    120.0    1    0    2_dark
