event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    6.0    68.01    92.01    1    1    none
2    13.86    13.86    30.0    1    1    none
3    0    0    0.0    0    0    melting
4    29.51    47.51    78.0    1    1    none
5    10.39    21.39    71.0    1    1    none
6    1.0    43.0    72.0    1    1    none
7    88.29    93.29    125.0    1    1    none
8    0    0    0.0    0    0    2_dark
9    11.86    28.86    137.0    1    1    none
10    2.76    4.76    12.0    1    1    none
11    3.96    3.96    30.0    1    1    none
12    -1    -1.0    5.0    1    1    none
13    18.61    33.61    75.0    1    1    none
14    41.66    41.66    60.0    1    1    none
15    19.43    19.43    30.0    1    1    none
16    24.55    54.55    60.0    1    1    none
17    6.5    131.5    135.0    1    0    2_dark
18    4.46    4.46    5.0    1    1    none
19    25.27    67.27    102.0    1    1    none
20    19.38    72.38    113.0    1    1    none
21    72.44    89.47    16.0    0    0    dark_ion_loss
22    4.27    228.27    27.0    0    0    none
23    28.96    34.96    126.0    1    1    none
24    11.55    26.55    75.0    1    0    2_dark
25    0    0    294.0    0    0    2_dark
26    0.72    0.72    60.0    1    1    none
