event_number,event_time_[s],diss_exposure_time_[s],diss_succes,diss_power_[muW],diss_wavelength_[nm],pp_divider,ratio_dark_ion_events,use_data,reason
1,1675933036.342181,1,0,6,260,100,1.0,1,none
1,1675933036.342181,10,0,6,260,100,1.0,1,melting
1,1675933036.342181,10,1,6,260,100,0.0,1,none
2,1675933135.955679,1,0,6,260,100,1.0,1,none
2,1675933135.955679,1,0,6,260,100,1.0,1,none
2,1675933135.955679,60,1,6,260,100,0.0,0,2_dark
3,1675933321.8209615,10,1,6,260,100,0.0,1,none
4,1675934017.64222,1,1,6,260,100,0.0,1,none
5,1675934173.0852838,5,0,6,260,100,0.0,0,2_dark
6,1675934450.4440322,1,0,6,260,100,1.0,1,none
6,1675934450.4440322,30,1,6,260,100,0.0,1,none
7,1675934702.1477852,30,0,6,260,100,1.0,1,none
7,1675934702.1477852,10,0,6,260,100,1.0,1,none
7,1675934702.1477852,1,0,6,260,100,1.0,1,none
7,1675934702.1477852,5,0,6,260,100,1.0,1,none
7,1675934702.1477852,1,0,6,260,100,1.0,1,none
7,1675934702.1477852,10,0,6,260,100,1.0,1,none
7,1675934702.1477852,120,1,6,260,100,1.0,1,none
7,1675934702.1477852,1,0,6,260,100,1.0,1,dark_reappeared
7,1675934702.1477852,60,1,6,260,100,0.0,1,dark_reappeared
8,1675935391.7648628,10,1,6,260,100,0.0,1,none
9,1675936193.7676115,5,0,6,260,100,1.0,0,2_dark
10,1675936428.1979563,10,0,6,260,100,1.0,1,none
10,1675936428.1979563,60,1,6,260,100,0.0,1,none
11,1675936857.9566565,1,0,6,260,100,1.0,1,none
11,1675936857.9566565,5,0,6,260,100,1.0,1,none
11,1675936857.9566565,1,0,6,260,100,1.0,1,none
11,1675936857.9566565,1,0,6,260,100,1.0,1,none
11,1675936857.9566565,5,1,6,260,100,0.0,1,none
12,1675937891.1879778,1,0,6,260,100,1.0,1,none
12,1675937891.1879778,10,0,6,260,100,1.0,1,none
12,1675937891.1879778,1,0,6,260,100,1.0,0,melting
12,1675937891.1879778,10,0,6,260,100,1.0,1,melting
12,1675937891.1879778,120,1,6,260,100,0.0,1,none
13,1675938385.7521074,5,0,6,260,100,1.0,1,none
13,1675938385.7521074,1,0,6,260,100,1.0,1,none
13,1675938385.7521074,30,0,6,260,100,1.0,1,none
13,1675938385.7521074,5,1,6,260,100,0.0,1,none
14,1675938639.8833,5,0,6,260,100,1.0,1,none
14,1675938639.8833,1,0,6,260,100,1.0,1,none
14,1675938639.8833,1,0,6,260,100,1.0,0,2_dark
15,1675939564.9149952,5,0,6,260,100,1.0,1,none
15,1675939564.9149952,30,1,6,260,100,0.0,1,none
16,1675940069.7962034,5,0,6,260,100,1.0,0,melting
16,1675940069.7962034,10,1,6,260,100,0.0,0,melting
17,1675940501.9431982,1,0,6,260,100,1.0,1,none
17,1675940501.9431982,10,0,6,260,100,1.0,0,melting
17,1675940501.9431982,5,1,6,260,100,0.0,1,none
18,1675940955.547659,10,0,6,260,100,1.0,0,melting
18,1675940955.547659,1,0,6,260,100,1.0,0,melting
18,1675940955.547659,5,0,6,260,100,1.0,1,none
18,1675940955.547659,5,0,6,260,100,1.0,0,melting
18,1675940955.547659,10,0,6,260,100,1.0,1,melting
18,1675940955.547659,5,0,6,260,100,1.0,1,none
18,1675940955.547659,5,0,6,260,100,1.0,0,melting
18,1675940955.547659,1,0,6,260,100,1.0,1,none
18,1675940955.547659,1,0,6,260,100,1.0,1,none
18,1675940955.547659,60,1,6,260,100,0.0,1,none
19,1675941545.1377347,10,1,6,260,100,0.0,1,none
20,1675941925.118184,1,0,6,260,100,1.0,1,melting
20,1675941925.118184,10,0,6,260,100,1.0,0,melting
20,1675941925.118184,5,0,6,260,100,1.0,1,melting
20,1675941925.118184,30,1,6,260,100,0.0,1,none
21,1675942205.742001,1,0,6,260,100,1.0,1,melting
21,1675942205.742001,1,0,6,260,100,1.0,1,melting
21,1675942205.742001,5,0,6,260,100,1.0,1,melting
21,1675942205.742001,1,0,6,260,100,1.0,1,none
21,1675942205.742001,10,0,6,260,100,1.0,1,none
21,1675942205.742001,30,0,6,260,100,1.0,1,none
21,1675942205.742001,10,1,6,260,100,0.0,1,none
22,1675943432.6185462,1,0,6,260,100,1.0,1,none
22,1675943432.6185462,60,1,6,260,100,0.0,1,none
23,1675943654.3303907,60,1,6,260,100,0.0,1,none
24,1675943845.6466525,5,0,6,260,100,1.0,1,melting
24,1675943845.6466525,10,0,6,260,100,1.0,1,none
24,1675943845.6466525,30,1,6,260,100,0.0,1,none
25,1675944858.705943,10,1,6,260,100,0.0,1,none
26,1675945218.4590933,5,0,6,260,100,1.0,0,2_dark
27,1675946152.3858542,5,0,6,260,100,1.0,1,none
27,1675946152.3858542,1,1,6,260,100,0.0,1,none
28,1675946744.7587352,10,0,6,260,100,1.0,1,none
28,1675946744.7587352,5,0,6,260,100,1.0,1,none
28,1675946744.7587352,60,1,6,260,100,0.0,1,none
29,1675947190.6150405,60,0,6,260,100,1.0,0,2_dark
30,1675947649.5000045,1,0,6,260,100,1.0,1,none
30,1675947649.5000045,30,0,6,260,100,1.0,1,none
30,1675947649.5000045,5,0,6,260,100,1.0,1,none
30,1675947649.5000045,30,0,6,260,100,1.0,1,none
30,1675947649.5000045,1,0,6,260,100,1.0,1,none
30,1675947649.5000045,5,0,6,260,100,1.0,1,none
30,1675947649.5000045,1,0,6,260,100,1.0,1,none
30,1675947649.5000045,120,1,6,260,100,0.0,1,none
31,1675948294.4257584,30,0,6,260,100,1.0,1,none
31,1675948294.4257584,1,0,6,260,100,1.0,1,none
31,1675948294.4257584,30,0,6,260,100,1.0,1,none
31,1675948294.4257584,1,0,6,260,100,1.0,1,none
31,1675948294.4257584,120,1,6,260,100,0.0,1,none
32,1675949292.409408,10,0,6,260,100,1.0,1,none
32,1675949292.409408,60,1,6,260,100,0.0,1,none
33,1675949482.4687047,30,0,6,260,100,1.0,1,none
33,1675949482.4687047,5,0,6,260,100,1.0,1,none
33,1675949482.4687047,10,0,6,260,100,1.0,1,none
33,1675949482.4687047,30,0,6,260,100,1.0,1,none
33,1675949482.4687047,5,0,6,260,100,1.0,1,none
33,1675949482.4687047,10,0,6,260,100,1.0,1,none
33,1675949482.4687047,60,1,6,260,100,0.0,1,none
34,1675950072.1918013,5,0,6,260,100,1.0,1,none
34,1675950072.1918013,1,0,6,260,100,1.0,1,none
34,1675950072.1918013,5,0,6,260,100,1.0,0,2_dark
35,1675950577.6010969,1,0,6,260,100,1.0,1,none
35,1675950577.6010969,10,0,6,260,100,1.0,1,none
35,1675950577.6010969,10,0,6,260,100,1.0,1,none
35,1675950577.6010969,5,0,6,260,100,1.0,1,none
35,1675950577.6010969,60,1,6,260,100,0.0,1,none
36,1675950837.8732107,10,0,6,260,100,1.0,1,none
36,1675950837.8732107,30,0,6,260,100,1.0,1,none
36,1675950837.8732107,5,0,6,260,100,1.0,1,none
36,1675950837.8732107,5,0,6,260,100,1.0,1,none
36,1675950837.8732107,120,1,6,260,100,0.0,1,none
37,1675951220.2244575,5,0,6,260,100,1.0,1,none
37,1675951220.2244575,60,1,6,260,100,0.0,1,none
38,1675951645.904555,1,0,6,260,100,1.0,1,none
38,1675951645.904555,10,0,6,260,100,1.0,1,none
38,1675951645.904555,5,0,6,260,100,1.0,1,none
38,1675951645.904555,10,0,6,260,100,1.0,1,none
38,1675951645.904555,10,0,6,260,100,1.0,1,none
38,1675951645.904555,5,0,6,260,100,1.0,1,none
38,1675951645.904555,1,0,6,260,100,1.0,1,none
38,1675951645.904555,60,1,6,260,100,0.0,1,none
39,1675952211.9680028,5,0,6,260,100,1.0,1,none
39,1675952211.9680028,1,0,6,260,100,1.0,1,none
39,1675952211.9680028,1,0,6,260,100,1.0,1,none
39,1675952211.9680028,10,0,6,260,100,1.0,1,none
39,1675952211.9680028,30,1,6,260,100,0.0,1,none
40,1675952986.2300773,5,0,6,260,100,1.0,1,none
40,1675952986.2300773,1,0,6,260,100,1.0,1,none
40,1675952986.2300773,5,0,6,260,100,1.0,1,none
40,1675952986.2300773,1,0,6,260,100,1.0,1,none
40,1675952986.2300773,60,1,6,260,100,0.0,1,none
41,1675953406.462671,10,0,6,260,100,1.0,1,none
41,1675953406.462671,1,0,6,260,100,1.0,1,none
41,1675953406.462671,10,0,6,260,100,1.0,1,none
41,1675953406.462671,30,1,6,260,100,0.0,1,none
42,1675953736.8709753,10,1,6,260,100,0.0,1,none
43,1675955575.6628022,30,0,6,260,100,1.0,1,none
43,1675955575.6628022,1,0,6,260,100,1.0,1,none
43,1675955575.6628022,60,0,6,260,100,1.0,1,none
43,1675955575.6628022,10,0,6,260,100,1.0,1,none
43,1675955575.6628022,1,0,6,260,100,1.0,0,2_dark
43,1675955575.6628022,120,1,6,260,100,0.0,0,2_dark
44,1675956240.689116,5,0,6,260,100,1.0,1,none
44,1675956240.689116,10,1,6,260,100,0.0,1,none
45,1675956939.322661,30,0,6,260,100,1.0,1,none
45,1675956939.322661,5,0,6,260,100,1.0,1,none
45,1675956939.322661,10,0,6,260,100,1.0,1,none
45,1675956939.322661,10,0,6,260,100,1.0,1,none
45,1675956939.322661,60,0,6,260,100,0.0,0,2_dark
46,1675957475.1249082,10,1,6,260,100,0.0,0,melting
47,1675957642.288851,30,0,6,260,100,1.0,0,melting
47,1675957642.288851,1,0,6,260,100,0.0,1,melting
48,1675958813.0410652,1,0,6,260,100,1.0,1,melting
48,1675958813.0410652,120,1,6,260,100,0.0,0,melting
