event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_02_13_11_03_45    2    3    True    0    [[5, 2, 15], [10, 2, 15], [5, 2, 15], [5, 2, 15], [1, 2, 15], [30, 2, 15], [1, 2, 15], [5, 2, 15], [1, 2, 15], [10, 2, 15], [1, 2, 15], [120, 3, 0]]    1    none
2    2023_02_13_11_40_03    2    3    True    0    [[30, 3, 0]]    1    none
3    2023_02_13_11_45_30    2    3    True    0    [[5, 3, 0]]    1    none
4    2023_02_13_11_51_36    2    3    True    0    [[10, 2, 15], [30, 3, 0]]    1    none
5    2023_02_13_11_54_57    2    3    True    0    [[5, 2, 15], [5, 2, 15], [30, 2, 15], [1, 2, 15], [30, 2, 15], [1, 2, 15], [120, 2, 15], [60, 2, 15], [1, 2, 15], [10, 2, 15], [10, 2, 15], [5, 3, 0]]    1    none
6    2023_02_13_12_08_08    2    0    False    0    [[10, 0, 0]]    0    2_dark
7    2023_02_13_12_36_16    2    3    True    0    [[30, 3, 0]]    1    none
8    2023_02_13_12_42_35    2    1    False    0    [[120, 2, 15], [30, 2, 15], [1, 2, 15], [10, 2, 15], [5, 2, 15], [5, 2, 15], [1, 2, 15], [30, 2, 15], [60, 2, 15], [1, 2, 15], [5, 2, 15], [1, 2, 15], [10, 2, 15], [10, 1, 15]]    0    2_dark
9    2023_02_13_13_05_43    2    3    True    0    [[1, 2, 15], [120, 2, 15], [30, 3, 0]]    1    none
10    2023_02_13_13_22_24    2    2    False    0    [[1, 2, 15], [10, 2, 15], [30, 2, 15], [60, 2, 15], [120, 2, 15], [1, 2, 15], [10, 2, 15], [5, 2, 15], [30, 2, 15], [5, 2, 15], [5, 2, 15], [10, 2, 15], [1, 2, 15], [1, 2, 15], [5, 2, 15]]    1    none
11    2023_02_13_14_28_56    2    3    True    0    [[5, 2, 15], [1, 2, 15], [1, 2, 15], [5, 2, 15], [60, 3, 0]]    1    none
12    2023_02_13_15_08_14    2    3    True    0    [[120, 2, 15], [1, 2, 15], [1, 2, 15], [60, 2, 15], [5, 2, 15], [30, 2, 15], [1, 2, 15], [1, 2, 15], [10, 3, 0]]    1    none
13    2023_02_13_15_28_54    2    2    False    0    [[5, 2, 15], [1, 2, 15], [1, 2, 15], [10, 2, 15], [10, 2, 15], [1, 2, 15], [10, 2, 15], [5, 2, 15], [5, 2, 15], [30, 2, 15], [60, 2, 15], [30, 2, 15], [5, 2, 15], [1, 2, 15], [120, 2, 15]]    0    2_dark
14    2023_02_13_15_47_23    2    1    False    0    [[5, 2, 15], [1, 2, 15], [10, 2, 15], [1, 2, 15], [60, 2, 15], [30, 2, 15], [1, 1, 5]]    0    2_dark
15    2023_02_13_16_01_45    3    4    True    0    [[30, 3, 15], [30, 3, 15], [5, 3, 15], [120, 4, 0]]    1    none
16    2023_02_13_16_10_58    3    4    True    0    [[30, 3, 15], [10, 3, 15], [10, 4, 0]]    1    none
17    2023_02_13_16_19_51    2    2    False    0    [[30, 2, 15], [5, 2, 15], [10, 2, 15], [120, 2, 15], [10, 2, 15], [60, 2, 15], [1, 2, 15], [5, 2, 15], [1, 2, 15], [5, 2, 15], [30, 2, 15], [5, 2, 15], [1, 2, 15], [1, 2, 15], [10, 2, 15]]    1    none
18    2023_02_13_16_34_34    3    3    False    0    [[60, 3, 15], [1, 3, 15], [120, 3, 15], [5, 3, 15], [30, 3, 15], [5, 3, 15], [5, 3, 15], [1, 3, 15], [1, 3, 15], [10, 3, 15], [10, 3, 15], [1, 3, 15], [10, 3, 15], [30, 3, 15], [5, 3, 15]]    1    none
19    2023_02_13_16_51_19    3    3    False    0    [[30, 3, 15], [1, 3, 15], [120, 3, 15], [5, 3, 15], [5, 3, 15], [10, 3, 15], [1, 3, 15], [1, 3, 15], [1, 3, 15], [5, 3, 15], [5, 3, 15], [10, 3, 15], [60, 3, 15], [10, 3, 15], [30, 3, 15]]    1    none
20    2023_02_13_17_09_58    2    2    False    0    [[1, 2, 15], [30, 2, 15], [1, 2, 15], [1, 2, 15], [10, 2, 15], [120, 2, 15], [1, 2, 15], [5, 2, 15], [5, 2, 15], [10, 2, 15], [30, 2, 15], [5, 2, 15], [60, 2, 15], [10, 2, 15], [5, 2, 15]]    1    none
