event_number,event_time_[s],diss_exposure_time_[s],diss_succes,diss_power_[muW],diss_wavelength_[nm],pp_divider,ratio_dark_ion_events,use_data,reason
1,1676367528.422982,1,0,60,270,100,1.0,1,none
1,1676367528.422982,10,0,60,270,100,1.0,1,none
1,1676367528.422982,60,1,60,270,100,0.0,1,none
2,1676367989.0592926,10,1,60,270,100,0.0,1,none
3,1676369141.5497918,10,0,60,270,100,1.0,1,none
3,1676369141.5497918,1,0,60,270,100,1.0,1,none
3,1676369141.5497918,5,0,60,270,100,1.0,1,melting
3,1676369141.5497918,120,1,60,270,100,0.0,1,none
4,1676369987.4566934,30,1,60,270,100,0.0,0,2_dark
5,1676370082.8611133,30,0,60,270,100,1.0,0,2_dark
6,1676370478.6161664,10,1,60,270,100,0.0,1,none
7,1676371159.873033,1,0,60,270,100,1.0,1,none
7,1676371159.873033,120,1,60,270,100,0.0,1,none
8,1676371419.2643504,60,1,60,270,100,0.0,1,none
9,1676371834.7496548,10,0,60,270,100,0.0,0,2_dark
10,1676373543.4316459,60,1,60,270,100,0.0,1,none
11,1676373887.7629,10,1,60,270,100,0.0,1,none
12,1676374250.436888,10,0,60,270,100,1.0,1,none
12,1676374250.436888,30,0,60,270,100,1.0,1,none
12,1676374250.436888,1,0,60,270,100,1.0,1,none
12,1676374250.436888,120,0,60,270,100,0.0,0,empty
13,1676375251.0386243,1,0,60,270,100,1.0,1,none
13,1676375251.0386243,5,0,60,270,100,1.0,1,none
13,1676375251.0386243,60,1,60,270,100,0.0,1,none
14,1676375704.9749691,5,0,60,270,100,1.0,1,none
14,1676375704.9749691,5,1,60,270,100,0.0,1,none
15,1676376374.015807,60,1,60,270,100,0.0,1,none
16,1676376742.4510167,5,0,60,270,100,1.0,1,none
16,1676376742.4510167,10,0,60,270,100,1.0,1,none
16,1676376742.4510167,10,1,60,270,100,0.0,1,none
17,1676378280.5927434,5,0,60,270,100,1.0,1,none
17,1676378280.5927434,1,0,60,270,100,1.0,1,none
17,1676378280.5927434,30,0,60,270,100,1.0,1,none
17,1676378280.5927434,120,1,60,270,100,0.0,1,none
18,1676379175.22148,30,1,60,270,100,0.0,1,empty
19,1676379420.4274821,1,0,60,270,100,1.0,1,none
19,1676379420.4274821,1,0,60,270,100,1.0,1,none
19,1676379420.4274821,10,0,60,270,100,1.0,1,none
19,1676379420.4274821,1,0,60,270,100,0.0,0,2_dark
20,1676380024.6810396,10,0,60,270,100,1.0,1,none
20,1676380024.6810396,1,0,60,270,100,1.0,1,none
20,1676380024.6810396,1,0,60,270,100,1.0,1,none
20,1676380024.6810396,5,1,60,270,100,0.0,1,none
21,1676380430.4829302,1,0,60,270,100,1.0,1,none
21,1676380430.4829302,1,0,60,270,100,1.0,1,none
21,1676380430.4829302,10,1,60,270,100,0.0,1,none
22,1676380817.189373,5,0,60,270,100,1.0,1,none
22,1676380817.189373,5,0,60,270,100,1.0,1,none
22,1676380817.189373,60,1,60,270,100,0.0,1,none
23,1676381775.2501838,120,0,60,270,100,1.0,0,load_dark_ion
24,1676382657.997952,10,0,60,270,100,1.0,1,none
24,1676382657.997952,1,0,60,270,100,1.0,1,none
24,1676382657.997952,10,0,60,270,100,1.0,0,2_dark
25,1676383134.8683496,1,0,60,270,100,1.0,1,none
25,1676383134.8683496,5,0,60,270,100,1.0,1,none
25,1676383134.8683496,30,1,60,270,100,0.0,1,none
26,1676383865.5959792,5,0,60,270,100,1.0,1,none
26,1676383865.5959792,60,1,60,270,100,0.0,0,2_dark
27,1676384286.9451923,30,1,60,270,100,0.0,1,none
28,1676385007.5683012,30,1,60,270,100,0.0,1,none
29,1676385409.3569715,1,0,60,270,100,1.0,1,none
29,1676385409.3569715,5,0,60,270,100,1.0,0,2_dark
30,1676386551.668694,10,0,60,270,100,1.0,1,none
30,1676386551.668694,60,1,60,270,100,0.0,1,none
31,1676388339.0570807,1,1,60,270,100,0.0,1,none
32,1676388692.4762266,10,0,60,270,100,1.0,1,none
32,1676388692.4762266,5,1,60,270,100,0.0,1,none
