event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    3.25    14.25    21.0    1    1    none
2    42.03    44.03    2.0    0    0    2_dark
3    5.13    5.13    10.0    1    1    none
4    1.0    1.0    1.0    1    1    none
5    0    0    0.0    0    0    2_dark
6    20.64    21.64    31.0    1    1    none
7    9.25    10.25    61.0    1    0    dark_reappeared
8    7.66    7.66    10.0    1    1    none
9    0    0    0.0    0    0    2_dark
10    33.85    43.85    70.0    1    1    none
11    3.51    11.52    13.01    1    1    none
12    2.72    24.74    11.0    0    1    melting
13    4.36    40.36    41.0    1    1    none
14    0    0    6.0    0    1    2_dark
15    15.15    20.15    35.0    1    1    none
16    9.5    14.5    15.0    1    0    melting
17    3.43    14.43    1.0    0    1    melting
18    11.21    54.21    103.0    1    0    melting
19    1.31    1.31    10.0    1    1    none
20    23.71    39.71    1.0    0    1    melting
21    5.26    53.26    58.0    1    1    none
22    47.17    48.17    61.0    1    1    none
23    40.91    40.91    60.0    1    1    none
24    27.05    42.05    45.0    1    1    none
25    10.0    10.0    10.0    1    1    none
26    0    0    0.0    0    0    2_dark
27    0.69    5.69    6.0    1    1    none
28    4.55    19.55    75.0    1    1    none
29    0    0    0.0    0    0    2_dark
30    2.01    75.01    193.0    1    1    none
31    18.82    80.82    182.02    1    1    none
32    4.0    14.0    70.0    1    1    none
33    45.74    135.74    150.0    1    1    none
34    0    0    6.0    0    0    2_dark
35    31.4    57.43    86.03    1    1    none
36    85.9    135.9    170.0    1    1    none
37    1.25    6.25    65.0    1    1    none
38    13.71    55.71    102.0    1    1    none
39    7.16    24.16    47.0    1    1    none
40    0.7    12.7    72.0    1    1    none
41    4.8    25.8    51.0    1    1    none
42    1.67    1.67    10.0    1    1    none
43    15.72    117.72    101.0    0    1    none
44    9.24    14.24    15.0    1    1    none
45    0    0    55.0    0    0    2_dark
46    7.29    7.29    10.0    1    0    melting
47    0    0    30.0    0    0    melting
48    65.29    66.29    121.0    1    0    melting
