event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    1.03    12.03    71.0    1    1    none
2    7.35    7.35    10.0    1    1    none
3    16.94    32.94    136.0    1    1    none
4    11.48    11.48    30.0    1    0    2_dark
5    0    0    0.0    0    0    2_dark
6    0.75    0.75    10.0    1    1    none
7    31.97    32.97    121.0    1    1    none
8    20.24    20.24    60.0    1    1    none
9    0    0    0.0    0    0    2_dark
10    1.4    1.4    60.04    1    1    none
11    2.32    2.32    10.0    1    1    none
12    0    0    41.0    0    1    empty
13    36.62    42.62    66.0    1    1    none
14    1.65    6.65    10.0    1    1    none
15    2.17    2.17    60.0    1    1    none
16    6.56    21.56    25.0    1    1    none
17    56.56    92.66    156.1    1    1    none
18    25.89    25.89    30.0    1    1    empty
19    0    0    12.0    0    1    2_dark
20    1.61    13.61    17.0    1    1    none
21    2.86    4.86    12.0    1    1    none
22    2.63    12.63    70.0    1    1    none
23    0    0    0.0    0    0    load_dark_ion
24    0    0    11.0    0    1    2_dark
25    2.24    8.24    36.0    1    1    none
26    55.36    60.36    65.0    1    0    2_dark
27    3.52    3.52    30.0    1    1    none
28    3.43    3.43    30.0    1    1    none
29    0    0    1.0    0    1    2_dark
30    7.79    17.79    70.0    1    1    none
31    0.74    0.74    1.0    1    1    none
32    2.16    12.17    15.01    1    1    none
