event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    4.1    26.11    82.01    1    1    none
2    2.29    12.29    15.0    1    1    none
3    7.73    7.73    10.0    1    1    none
4    2.66    2.66    30.0    1    1    none
5    13.57    18.57    65.0    1    1    none
6    1.7    36.7    5.0    0    1    none
7    3.26    10.26    12.0    1    1    none
8    17.96    17.96    30.0    1    1    none
9    0    0    0.0    0    0    2_dark
10    1.0    2.0    61.0    1    1    none
11    7.65    7.65    10.0    1    1    none
12    1.08    1.08    1.0    1    0    dark_reappeared
13    69.15    70.15    121.0    1    1    none
14    0.78    5.78    10.0    1    1    none
15    6.67    7.67    121.0    1    1    none
16    4.27    4.27    10.0    1    1    none
17    16.67    16.67    30.0    1    0    2_dark
18    1.92    1.92    5.07    1    1    none
19    5.08    15.08    15.0    1    0    dark_ion_loss
20    7.84    7.84    30.04    1    1    none
21    10.0    10.0    10.0    1    1    none
22    4.53    15.53    41.0    1    1    none
23    5.63    5.63    60.0    1    1    none
24    2.25    3.25    11.0    1    1    none
25    6.37    11.37    15.0    1    1    none
26    5.71    5.71    60.0    1    1    none
27    5.83    5.83    30.0    1    1    none
28    1.6    1.6    10.0    1    1    none
